qid,label
Q11717789,Jan Januszowski
Q12002557,St. Olav forlag
Q13186809,Sajha Publications
Q11179076,Československý spisovatel
Q12033405,Libri
Q12211250,Dār al-ʿIlm lil-Malāyīn
Q12333786,Rosinante & Co
Q12040355,Nakladatelství Lidové noviny
Q11141263,Kawade Shobō Shinsha
Q13360245,Réunion des musées nationaux
Q2753848,Berkley Books
Q3047430,Edgar Bourloton
Q106961153,mṭbʿẗ al-sʿādẗ
Q110802198,Tipografia Pietro Righetti
Q44012853,Pillar & Co.
Q51457926,Bangiya Bijnan Parishad
Q83444320,Henry S. King & Co.
Q51466197,Gurudas Chattopadhyay & sons
Q42899273,I.W.W. Publishing Bureau
Q59248012,Knihtiskárna Františka Šimáčka
Q63438302,Francesco Casanova
Q3579517,Stock
Q1225116,Les Belles Lettres
Q110820349,Tipografia e libreria salesiana
Q10379185,Academia
Q7896496,University of Toronto Press
Q10544979,Kerberos
Q8041247,Władysław Szafer Institute of Botany
Q6582671,Matar Publishing House
Q7896557,University of Wales Press
Q10526921,Hugo Gebers förlag
Q867530,Victoria University of Manchester
Q5251426,Defense Technical Information Center
Q19016714,Parry Hall
Q15961733,William Ashton
Q19101540,London Morning Post
Q28059716,Rivingtons
Q3296078,Methuen Publishing
Q51064396,W. Thacker & Co.
Q17308959,Charles Dilly
Q19016831,J. Gill
Q10454562,Clarendon Press
Q77828133,P. S. King
Q13415852,New Chapter Press
Q13567011,Mladinska knjiga
Q69389279,Státní nakladatelství krásné literatury a umění
Q15730345,Ferdinand Hirt & Sohn
Q25473804,Ruslanda Esperantisto
Q85309568,Livraria Chardron
Q55091753,Librairie du Liban Publishers
Q6243946,John Lane
Q20897941,J. M. Dent & Sons
Q16850981,Cambridge Mission to Delhi
Q40477116,David Douglas
Q45748348,George Robertson & Co.
Q30078159,Cameron and Ferguson
Q73939642,Richard Bentley and Son
Q98157044,National Press Agency
Q1472511,Statistics Sweden
Q2806609,10/18
Q15717686,A. Henry
Q14175176,Hodder & Stoughton
Q15729827,Henri Plon
Q15726956,Treuttel et Würtz
Q22338343,Belin-Le-Prieur
Q34433,University of Oxford
Q105669246,Nouvelle Librairie Parisienne
Q3828387,Le Monnier
Q4764054,Angus & Robertson
Q3402575,Presses de l'Université de Paris-Sorbonne
Q7551917,Sociedade Brasileira de Matemática
Q5574338,Gnome Press
Q877099,M. DuMont Schauberg
Q861799,Orion Publishing Group
Q821732,Metropol Verlag
Q898097,Faber & Faber
Q535961,Angelo Fortunato Formiggini
Q914167,Laurent Durand
Q110728229,Antoine Le Clerc
Q3442211,Rosalie Huzard
Q110557651,Tipografia di Pietro Alberto Ibertis
Q110588259,Stamperia di Giuseppe Rasario
Q110728114,Ponce Roffet
Q110801682,Tipografia Marco Rossetti
Q402104,International Commission on Stratigraphy
Q7595984,Stackpole Books
Q4304262,Moskovskii rabochii
Q5322148,E. Schweizerbart
Q3579511,Éditions Slatkine
Q6283940,Joseph Henry Press
Q2976945,Claude Barbin
Q420747,National Library of Finland
Q548452,Félix Alcan
Q107540904,Elliot Stock
Q65953734,The Science Press
Q98785951,C. F. Cock
Q106372006,A. Heywood
Q29427892,Charles Cull
Q42903102,Black and Red Press
Q110856965,Tipografia Speirani e Ferrero
Q40662312,T. and W. Boone
Q57812398,"Parker, Furnivall, and Parker"
Q28060623,Joseph Masters
Q94277808,Basil Montagu Pickering
Q73939250,The West of England Agricultural Labourers' Association
Q66057907,Richard G. Badger
Q45791934,Heath and Cordell
Q105319595,Gay & Hancock
Q74377733,A. S. Barnes & Company
Q66615791,Tinsley Brothers
Q5152520,Commercial Press
Q4049337,Sezonoj
Q3487982,Société de langue et de littérature wallonnes
Q3565136,Wahlström & Widstrand
Q928675,Phaidon Press
Q1136691,Cotta'sche Verlagsbuchhandlung
Q1724971,National Archives of Sweden
Q1372939,Eugen Ulmer Verlag
Q812420,Bavarian State Office for Statistics and Data
Q1573424,Assembly of the Union of the Comoros
Q2277384,Contact
Q2697821,Osprey Publishing
Q1862884,Ministry of Defense of Israel
Q2002708,Nouvelles Editions latines
Q1558913,Prestel Publishing
Q1340702,Jane's Information Group
Q1625513,Voenizdat
Q1574550,Unionsverlag
Q1327389,RCS MediaGroup
Q1368849,Firmin Didot
Q3117417,Groupe Flammarion
Q3230701,Les Arènes
Q3445044,St. Martin's Press
Q15137072,Hong Kong University Press
Q18668758,Strategic Info Research Development
Q16662945,Mardaga
Q18668661,Lembaga Studi dan Advokasi Masyarakat
Q18668662,Institut Sejarah Sosial Indonesia
Q18669702,Yayasan Obor Indonesia
Q18670248,"Pustaka Utama Grafiti, PT"
Q12521467,Tim Relawan
Q18712028,Artemis & Winkler
Q19000363,Ganesh & Co.
Q18670089,Nhà xuất bản Tri thức
Q13031440,Mastatskaya Litaratura
Q18670338,Pustaka Jaya
