syriaca_place,pleiades_place
http://syriaca.org/place/40,http://pleiades.stoa.org/places/678073
http://syriaca.org/place/663,http://pleiades.stoa.org/places/658371/
http://syriaca.org/place/1468,http://pleiades.stoa.org/places/599636
http://syriaca.org/place/1473,http://pleiades.stoa.org/places/727192
http://syriaca.org/place/151,http://pleiades.stoa.org/places/991410
http://syriaca.org/place/414,http://pleiades.stoa.org/places/638758
http://syriaca.org/place/146,http://pleiades.stoa.org/places/648725
http://syriaca.org/place/487,http://pleiades.stoa.org/places/678267
http://syriaca.org/place/452,http://pleiades.stoa.org/places/912808
http://syriaca.org/place/59,http://pleiades.stoa.org/places/981516
http://syriaca.org/place/212,http://pleiades.stoa.org/places/668315
http://syriaca.org/place/429,http://pleiades.stoa.org/places/893936
http://syriaca.org/place/310,http://pleiades.stoa.org/places/863903
http://syriaca.org/place/1489,http://pleiades.stoa.org/places/874720
http://syriaca.org/place/184,http://pleiades.stoa.org/places/874699
http://syriaca.org/place/316,http://pleiades.stoa.org/places/727247
http://syriaca.org/place/863,http://pleiades.stoa.org/places/109126
http://syriaca.org/place/674,http://pleiades.stoa.org/places/687839/
http://syriaca.org/place/102,http://pleiades.stoa.org/places/874348
http://syriaca.org/place/1464,http://pleiades.stoa.org/places/658621
http://syriaca.org/place/183,http://pleiades.stoa.org/places/658483
http://syriaca.org/place/409,http://pleiades.stoa.org/places/29547
http://syriaca.org/place/45,http://pleiades.stoa.org/places/658405
http://syriaca.org/place/368,http://pleiades.stoa.org/places/746745
http://syriaca.org/place/512,http://pleiades.stoa.org/places/491656
http://syriaca.org/place/134,http://pleiades.stoa.org/places/874573
http://syriaca.org/place/157,http://pleiades.stoa.org/places/697725
http://syriaca.org/place/1525,http://pleiades.stoa.org/places/609502
http://syriaca.org/place/1526,http://pleiades.stoa.org/places/550701
http://syriaca.org/place/410,http://pleiades.stoa.org/places/668366
http://syriaca.org/place/182,http://pleiades.stoa.org/places/894084
http://syriaca.org/place/187,http://pleiades.stoa.org/places/678393
http://syriaca.org/place/86,http://pleiades.stoa.org/places/874353
http://syriaca.org/place/31,http://pleiades.stoa.org/places/874340
http://syriaca.org/place/12,http://pleiades.stoa.org/places/981506
http://syriaca.org/place/303,http://pleiades.stoa.org/places/874393
http://syriaca.org/place/1534,http://pleiades.stoa.org/places/590031
http://syriaca.org/place/1532,http://pleiades.stoa.org/places/648698
http://syriaca.org/place/1533,http://pleiades.stoa.org/places/638965
http://syriaca.org/place/99,http://pleiades.stoa.org/places/982261
http://syriaca.org/place/55,http://pleiades.stoa.org/places/658440
http://syriaca.org/place/405,http://pleiades.stoa.org/places/658582
http://syriaca.org/place/299,http://pleiades.stoa.org/places/668208
http://syriaca.org/place/135,http://pleiades.stoa.org/places/1043
http://syriaca.org/place/638,http://pleiades.stoa.org/places/874655
http://syriaca.org/place/583,http://pleiades.stoa.org/places/874488
http://syriaca.org/place/854,http://pleiades.stoa.org/places/383706
http://syriaca.org/place/220,http://pleiades.stoa.org/places/903043
http://syriaca.org/place/159,http://pleiades.stoa.org/places/658576
http://syriaca.org/place/161,http://pleiades.stoa.org/places/668221
http://syriaca.org/place/2566,http://pleiades.stoa.org/places/893928
http://syriaca.org/place/2566,http://pleiades.stoa.org/places/874565
http://syriaca.org/place/50,http://pleiades.stoa.org/places/658412
http://syriaca.org/place/515,http://pleiades.stoa.org/places/668196
http://syriaca.org/place/514,http://pleiades.stoa.org/places/668178
http://syriaca.org/place/153,http://pleiades.stoa.org/places/668331
http://syriaca.org/place/237,http://pleiades.stoa.org/places/874545
http://syriaca.org/place/672,http://pleiades.stoa.org/places/912989
http://syriaca.org/place/84,http://pleiades.stoa.org/places/922698
http://syriaca.org/place/91,http://pleiades.stoa.org/places/668182
http://syriaca.org/place/520,http://pleiades.stoa.org/places/874383
http://syriaca.org/place/28,http://pleiades.stoa.org/places/874355
http://syriaca.org/place/431,http://pleiades.stoa.org/places/628929
http://syriaca.org/place/823,http://pleiades.stoa.org/places/903021
http://syriaca.org/place/156,http://pleiades.stoa.org/places/29713
http://syriaca.org/place/817,http://pleiades.stoa.org/places/863922
http://syriaca.org/place/496,http://pleiades.stoa.org/places/668350
http://syriaca.org/place/103,http://pleiades.stoa.org/places/658458
http://syriaca.org/place/57,http://pleiades.stoa.org/places/1001929
http://syriaca.org/place/489,http://pleiades.stoa.org/places/648810
http://syriaca.org/place/694,http://pleiades.stoa.org/places/642531/
http://syriaca.org/place/253,http://pleiades.stoa.org/places/874648
http://syriaca.org/place/523,http://pleiades.stoa.org/places/961874
http://syriaca.org/place/377,http://pleiades.stoa.org/places/874439
http://syriaca.org/place/811,http://pleiades.stoa.org/places/727235
http://syriaca.org/place/101,http://pleiades.stoa.org/places/678196
http://syriaca.org/place/206,http://pleiades.stoa.org/places/874631
http://syriaca.org/place/706,http://pleiades.stoa.org/places/912842
http://syriaca.org/place/266,http://pleiades.stoa.org/places/668214
http://syriaca.org/place/629,http://pleiades.stoa.org/places/727172/
http://syriaca.org/place/114,http://pleiades.stoa.org/places/893928
http://syriaca.org/place/114,http://pleiades.stoa.org/places/874565
http://syriaca.org/place/62,http://pleiades.stoa.org/places/893974
http://syriaca.org/place/70,http://pleiades.stoa.org/places/874577
http://syriaca.org/place/830,http://pleiades.stoa.org/places/902990
http://syriaca.org/place/258,http://pleiades.stoa.org/places/874406
http://syriaca.org/place/2903,http://pleiades.stoa.org/places/932483
http://syriaca.org/place/577,http://pleiades.stoa.org/places/678179
http://syriaca.org/place/56,http://pleiades.stoa.org/places/1001928
http://syriaca.org/place/105,http://pleiades.stoa.org/places/687917
http://syriaca.org/place/599,http://pleiades.stoa.org/places/687932
http://syriaca.org/place/481,http://pleiades.stoa.org/places/857171
http://syriaca.org/place/503,http://pleiades.stoa.org/places/1224
http://syriaca.org/place/480,http://pleiades.stoa.org/places/857024
http://syriaca.org/place/510,http://pleiades.stoa.org/places/857105
http://syriaca.org/place/379,http://pleiades.stoa.org/places/662205
http://syriaca.org/place/205,http://pleiades.stoa.org/places/658562
http://syriaca.org/place/209,http://pleiades.stoa.org/places/658636
http://syriaca.org/place/664,http://pleiades.stoa.org/places/874318
http://syriaca.org/place/288,http://pleiades.stoa.org/places/874508
http://syriaca.org/place/645,http://pleiades.stoa.org/places/874762
http://syriaca.org/place/213,http://pleiades.stoa.org/places/874742
http://syriaca.org/place/475,http://pleiades.stoa.org/places/894178
http://syriaca.org/place/201,http://pleiades.stoa.org/places/678431
http://syriaca.org/place/833,http://pleiades.stoa.org/places/903102
http://syriaca.org/place/300,http://pleiades.stoa.org/places/874438
http://syriaca.org/place/186,http://pleiades.stoa.org/places/912941
http://syriaca.org/place/860,http://pleiades.stoa.org/places/383717
http://syriaca.org/place/467,http://pleiades.stoa.org/places/874372
http://syriaca.org/place/877,http://pleiades.stoa.org/places/952108
http://syriaca.org/place/272,http://pleiades.stoa.org/places/587486981
http://syriaca.org/place/77,http://pleiades.stoa.org/places/893990
http://syriaca.org/place/2567,http://pleiades.stoa.org/places/658613
http://syriaca.org/place/653,http://pleiades.stoa.org/places/668266
http://syriaca.org/place/123,http://pleiades.stoa.org/places/912905
http://syriaca.org/place/506,http://pleiades.stoa.org/places/50205
http://syriaca.org/place/390,http://pleiades.stoa.org/places/662181
http://syriaca.org/place/125,http://pleiades.stoa.org/places/893991
http://syriaca.org/place/269,http://pleiades.stoa.org/places/668186
http://syriaca.org/place/15,http://pleiades.stoa.org/places/648548
http://syriaca.org/place/93,http://pleiades.stoa.org/places/894004
http://syriaca.org/place/61,http://pleiades.stoa.org/places/884130
http://syriaca.org/place/720,http://pleiades.stoa.org/places/903080
http://syriaca.org/place/865,http://pleiades.stoa.org/places/59915
http://syriaca.org/place/207,http://pleiades.stoa.org/places/874771
http://syriaca.org/place/446,http://pleiades.stoa.org/places/658442
http://syriaca.org/place/154,http://pleiades.stoa.org/places/678324
http://syriaca.org/place/673,http://pleiades.stoa.org/places/874367/
http://syriaca.org/place/32,http://pleiades.stoa.org/places/893958
http://syriaca.org/place/282,http://pleiades.stoa.org/places/678095
http://syriaca.org/place/1179,http://pleiades.stoa.org/places/687969
http://syriaca.org/place/74,http://pleiades.stoa.org/places/648623
http://syriaca.org/place/177,http://pleiades.stoa.org/places/874671
http://syriaca.org/place/152,http://pleiades.stoa.org/places/1001938
http://syriaca.org/place/798,http://pleiades.stoa.org/places/884119
http://syriaca.org/place/511,http://pleiades.stoa.org/places/658550
http://syriaca.org/place/79,http://pleiades.stoa.org/places/1001934
http://syriaca.org/place/484,http://pleiades.stoa.org/places/874373
http://syriaca.org/place/488,http://pleiades.stoa.org/places/511381
http://syriaca.org/place/1504,http://pleiades.stoa.org/places/629075
http://syriaca.org/place/461,http://pleiades.stoa.org/places/50092
http://syriaca.org/place/578,http://pleiades.stoa.org/places/912816
http://syriaca.org/place/437,http://pleiades.stoa.org/places/501482
http://syriaca.org/place/639,http://pleiades.stoa.org/places/688011/
http://syriaca.org/place/432,http://pleiades.stoa.org/places/668198
http://syriaca.org/place/522,http://pleiades.stoa.org/places/893947
http://syriaca.org/place/16,http://pleiades.stoa.org/places/658368
http://syriaca.org/place/175,http://pleiades.stoa.org/places/1001932
http://syriaca.org/place/556,http://pleiades.stoa.org/places/874586
http://syriaca.org/place/1947,http://pleiades.stoa.org/places/50079
http://syriaca.org/place/632,http://pleiades.stoa.org/places/952097
http://syriaca.org/place/654,http://pleiades.stoa.org/places/903083
http://syriaca.org/place/929,http://pleiades.stoa.org/places/912843
http://syriaca.org/place/2541,http://pleiades.stoa.org/places/108818
http://syriaca.org/place/169,http://pleiades.stoa.org/places/912926
http://syriaca.org/place/279,http://pleiades.stoa.org/places/678273
http://syriaca.org/place/574,http://pleiades.stoa.org/places/668187
http://syriaca.org/place/595,http://pleiades.stoa.org/places/678042
http://syriaca.org/place/119,http://pleiades.stoa.org/places/668292
http://syriaca.org/place/179,http://pleiades.stoa.org/places/678374
http://syriaca.org/place/173,http://pleiades.stoa.org/places/658585
http://syriaca.org/place/17,http://pleiades.stoa.org/places/874409
http://syriaca.org/place/655,http://pleiades.stoa.org/places/658437/
http://syriaca.org/place/81,http://pleiades.stoa.org/places/658556
http://syriaca.org/place/120,http://pleiades.stoa.org/places/894034
http://syriaca.org/place/679,http://pleiades.stoa.org/places/894139
http://syriaca.org/place/140,http://pleiades.stoa.org/places/874509
http://syriaca.org/place/589,http://pleiades.stoa.org/places/668201
http://syriaca.org/place/286,http://pleiades.stoa.org/places/874354
http://syriaca.org/place/158,http://pleiades.stoa.org/places/678332
http://syriaca.org/place/642,http://pleiades.stoa.org/places/39338/
http://syriaca.org/place/176,http://pleiades.stoa.org/places/1001933
http://syriaca.org/place/687,http://pleiades.stoa.org/places/658414/
http://syriaca.org/place/584,http://pleiades.stoa.org/places/658418
http://syriaca.org/place/490,http://pleiades.stoa.org/places/874572
http://syriaca.org/place/27,http://pleiades.stoa.org/places/668199
http://syriaca.org/place/22,http://pleiades.stoa.org/places/697728
http://syriaca.org/place/132,http://pleiades.stoa.org/places/668308
http://syriaca.org/place/601,http://pleiades.stoa.org/places/776189
http://syriaca.org/place/430,http://pleiades.stoa.org/places/874688
http://syriaca.org/place/579,http://pleiades.stoa.org/places/668340
http://syriaca.org/place/671,http://pleiades.stoa.org/places/922617
http://syriaca.org/place/85,http://pleiades.stoa.org/places/668250
http://syriaca.org/place/2667,http://pleiades.stoa.org/places/658569
http://syriaca.org/place/2669,http://pleiades.stoa.org/places/991393
http://syriaca.org/place/2672,http://pleiades.stoa.org/places/648635
http://syriaca.org/place/2664,http://pleiades.stoa.org/places/687854
http://syriaca.org/place/2633,http://pleiades.stoa.org/places/393379
http://syriaca.org/place/2657,http://pleiades.stoa.org/places/570182
http://syriaca.org/place/2634,http://pleiades.stoa.org/places/727078
http://syriaca.org/place/2629,http://pleiades.stoa.org/places/756518
http://syriaca.org/place/2682,http://pleiades.stoa.org/places/638980
http://syriaca.org/place/2655,http://pleiades.stoa.org/places/256128
