accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1956.003,,Sermons,0.168,0.332,0.842039018250472,0.8747640025173065,168,332,1338,1390
1956.003,,:,0.331,0.342,0.8432976714915041,0.8741346758967904,331,342,1340,1389
1956.003,,would,0.349,0.469,0.8432976714915041,0.8753933291378225,349,469,1340,1391
1956.003,,you,0.475,0.544,0.8439269981120201,0.8760226557583386,475,544,1341,1392
1956.003,,know,0.55,0.658,0.8445563247325362,0.8760226557583386,550,658,1342,1392
1956.003,,him,0.674,0.744,0.8451856513530522,0.8766519823788547,674,744,1343,1393
1956.003,,further,0.744,0.876,0.8451856513530522,0.8772813089993706,744,876,1343,1394
1956.003,,yet,0.878,0.932,0.8464443045940844,0.8772813089993706,878,932,1345,1394
1956.003,,your,0.076,0.17,0.8766519823788547,0.9074889867841409,76,170,1393,1442
1956.003,,selfe,0.179,0.26,0.8760226557583386,0.906859660163625,179,260,1392,1441
1956.003,,must,0.269,0.357,0.8760226557583386,0.9062303335431089,269,357,1392,1440
1956.003,,dye,0.364,0.427,0.8753933291378225,0.906859660163625,364,427,1391,1441
1956.003,,:,0.428,0.446,0.8753933291378225,0.9062303335431089,428,446,1391,1440
1956.003,,forReader,0.439,0.623,0.8753933291378225,0.9056010069225928,439,623,1391,1439
1956.003,,you,0.632,0.695,0.8741346758967904,0.9056010069225928,632,695,1389,1439
1956.003,,must,0.707,0.801,0.8741346758967904,0.9043423536815607,707,801,1389,1437
1956.003,,looke,0.806,0.901,0.8735053492762744,0.9043423536815607,806,901,1388,1437
1956.003,,In,0.085,0.129,0.9093769666456891,0.9383259911894273,85,129,1445,1491
1956.003,,Heau'n,0.136,0.276,0.9093769666456891,0.9376966645689113,136,276,1445,1490
1956.003,,for,0.285,0.343,0.908747640025173,0.9370673379483953,285,343,1444,1489
1956.003,,what's,0.359,0.471,0.908118313404657,0.9364380113278792,359,471,1443,1488
1956.003,,not,0.487,0.546,0.9074889867841409,0.9364380113278792,487,546,1442,1488
1956.003,,of,0.56,0.601,0.9074889867841409,0.9358086847073631,560,601,1442,1487
1956.003,,him,0.606,0.676,0.906859660163625,0.935179358086847,606,676,1441,1486
1956.003,,in,0.687,0.723,0.906859660163625,0.935179358086847,687,723,1441,1486
1956.003,,this,0.736,0.797,0.9062303335431089,0.935179358086847,736,797,1440,1486
1956.003,,Booke,0.799,0.909,0.9062303335431089,0.934550031466331,799,909,1440,1485
1956.003,,.,0.907,0.921,0.9062303335431089,0.934550031466331,907,921,1440,1485
1956.004,la,"DD VINCENTIO
Florentino ample
amenarum litterarum
peranantioinc
LEANDRO d
bus expressar
um obser
spacien
www33ter
RICCARDI, Marcioni
Sumo Senatori,
senyar uniculton
Tabalam hanc a
PONTE Color
veluti erige
JONES 20 JALA
D.D.D.
hapeal",0.0420353982300885,0.9513274336283186,0.02586206896551724,0.8721264367816092,19,430,18,607
1956.004,,DD,0.11061946902654868,0.16371681415929204,0.027298850574712645,0.040229885057471264,50,74,19,28
1956.004,,VINCENTIO,0.1902654867256637,0.34292035398230086,0.02586206896551724,0.041666666666666664,86,155,18,29
1956.004,,Florentino,0.11283185840707964,0.21017699115044247,0.040229885057471264,0.05747126436781609,51,95,28,40
1956.004,,ample,0.2234513274336283,0.2831858407079646,0.04310344827586207,0.05890804597701149,101,128,30,41
1956.004,,amenarum,0.04424778761061947,0.14601769911504425,0.0603448275862069,0.07040229885057471,20,66,42,49
1956.004,,litterarum,0.15486725663716813,0.24778761061946902,0.0603448275862069,0.07040229885057471,70,112,42,49
1956.004,,peranantioinc,0.046460176991150445,0.19690265486725664,0.07614942528735633,0.08908045977011494,21,89,53,62
1956.004,,LEANDRO,0.048672566371681415,0.1504424778761062,0.08764367816091954,0.10201149425287356,22,68,61,71
1956.004,,d,0.16371681415929204,0.17699115044247787,0.08908045977011494,0.10057471264367816,74,80,62,70
1956.004,,bus,0.04424778761061947,0.07079646017699115,0.10488505747126436,0.11637931034482758,20,32,73,81
1956.004,,expressar,0.07964601769911504,0.16150442477876106,0.10344827586206896,0.11781609195402298,36,73,72,82
1956.004,,um,0.046460176991150445,0.07300884955752213,0.11925287356321838,0.1307471264367816,21,33,83,91
1956.004,,obser,0.08628318584070796,0.13495575221238937,0.11925287356321838,0.12931034482758622,39,61,83,90
1956.004,,spacien,0.0420353982300885,0.11946902654867257,0.1336206896551724,0.14655172413793102,19,54,93,102
1956.004,,www33ter,0.5154867256637168,0.3893805309734513,0.8735632183908046,0.853448275862069,233,176,608,594
1956.004,,RICCARDI,0.6703539823008849,0.8008849557522124,0.027298850574712645,0.04741379310344827,303,362,19,33
1956.004,,",",0.8030973451327433,0.8075221238938053,0.031609195402298854,0.04741379310344827,363,365,22,33
1956.004,,Marcioni,0.8163716814159292,0.9314159292035398,0.03017241379310345,0.05028735632183908,369,421,21,35
1956.004,,Sumo,0.7212389380530974,0.7699115044247787,0.05172413793103448,0.0617816091954023,326,348,36,43
1956.004,,Senatori,0.7765486725663717,0.8606194690265486,0.05172413793103448,0.0617816091954023,351,389,36,43
1956.004,,",",0.8584070796460177,0.8650442477876106,0.05172413793103448,0.0617816091954023,388,391,36,43
1956.004,,senyar,0.7566371681415929,0.827433628318584,0.06609195402298851,0.07902298850574713,342,374,46,55
1956.004,,uniculton,0.8252212389380531,0.9446902654867256,0.06609195402298851,0.07902298850574713,373,427,46,55
1956.004,,Tabalam,0.7876106194690266,0.8694690265486725,0.07758620689655173,0.09195402298850575,356,393,54,64
1956.004,,hanc,0.8761061946902655,0.9247787610619469,0.07902298850574713,0.09339080459770115,396,418,55,65
1956.004,,a,0.9314159292035398,0.9446902654867256,0.08189655172413793,0.09339080459770115,421,427,57,65
1956.004,,PONTE,0.8207964601769911,0.8827433628318584,0.09195402298850575,0.10632183908045977,371,399,64,74
1956.004,,Color,0.8938053097345132,0.9358407079646017,0.09482758620689655,0.10775862068965517,404,423,66,75
1956.004,,veluti,0.8429203539823009,0.8871681415929203,0.11063218390804598,0.12643678160919541,381,401,77,88
