accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1971.037,0.69921875,0.363,0.662,0.2568064753495217,0.5128771155261221,363,662,349,697,7.071832,18.878395,-1.8148009,,1,1,1,1,1,1,1,0.43952957
1971.038,0.78125,0.325,0.693,0.17439293598233996,0.48933038999264167,325,693,237,665,2.4790792,19.744862,-4.338961,,1,1,1,1,1,1,1,0.73686355
1971.039,0.71484375,0.313,0.615,0.2501839587932303,0.5091979396615158,313,615,340,692,-3.177711,-42.687366,-2.7202523,,1,1,1,1,1,1,1,0.20463243
1971.047,0.6484375,0.36936936936936937,0.5885885885885885,0.05690376569037657,0.2702928870292887,369,588,68,323,3.5753062,-10.049314,-5.141563,,2,1,1,1,1,1,1,0.61437994
1973.022,0.65625,0.4263636363636364,0.59,0.1971971971971972,0.4074074074074074,469,649,197,407,-17.563015,9.227809,2.5972083,,1,1,1,1,1,1,1,0.5946041
1973.022,0.53515625,0.13090909090909092,0.21818181818181817,0.6266266266266266,0.7387387387387387,144,240,626,738,5.4695463,-9.66144,0.8274293,,1,2,1,1,1,1,1,0.38619328
1973.022,0.78125,0.6681818181818182,0.8281818181818181,0.14614614614614616,0.35135135135135137,735,911,146,351,-15.549793,7.626995,1.6329213,,1,1,1,1,1,1,1,0.7336539
1973.022,0.5234375,0.3018181818181818,0.3890909090909091,0.06706706706706707,0.17917917917917917,332,428,67,179,0.30805176,-5.7452893,0.80339205,,1,1,1,1,1,1,1,0.35628027
1973.022,0.734375,0.7127272727272728,0.8745454545454545,0.2702702702702703,0.4774774774774775,784,962,270,477,-13.919429,9.5989,5.726381,,1,1,1,1,1,1,1,0.56695586
1973.022,0.55078125,0.75,0.9127272727272727,0.6796796796796797,0.8888888888888888,825,1004,679,888,1.8969929,-2.1837187,-10.2905,,1,1,1,1,1,1,2,0.69429076
1974.024,0.59765625,0.397,0.576,0.13537771129394166,0.29094988780852654,397,576,181,389,2.3808274,-5.674696,4.617196,,1,1,1,1,1,1,1,0.7622641
1974.027,0.50390625,0.331,0.627,0.14233576642335766,0.39343065693430657,331,627,195,539,-1.827234,19.877382,2.6839952,,1,1,1,1,1,1,1,0.49552086
1975.012,0.62109375,0.262,0.731,0.19204737732656516,0.6539763113367174,262,731,227,773,-2.0345044,21.466866,-1.9010968,,1,1,1,1,1,1,1,0.25042427
1978.106,0.62890625,0.6636155606407322,0.7536231884057971,0.167,0.305,870,988,167,305,-7.4410877,-35.77842,-3.8940256,,1,1,1,1,1,1,1,0.2053897
1979.0086,0.89453125,0.09,0.623,0.15313807531380752,0.6711297071129707,90,623,183,802,-14.3444805,-29.210835,-2.84252,,1,1,1,1,1,1,1,0.4571276
1979.0141,0.94921875,0.41,0.839,0.10202550637659415,0.4763690922730683,410,839,136,635,16.370117,59.287334,4.6291184,,4,1,1,1,1,1,1,0.2230383
1979.0176,0.875,0.083,0.87,0.06422764227642276,0.808130081300813,83,870,79,994,0.6042222,-18.045177,-6.015832,,1,1,1,1,1,1,1,0.37626418
1979.0190P,0.84765625,0.21983715766099185,0.32642487046632124,0.192,0.359,297,441,192,359,13.495517,10.304849,-7.319271,,2,1,1,1,1,1,1,0.71266943
1979.0223P,0.578125,0.42042042042042044,0.5435435435435435,0.2,0.30923076923076925,420,543,260,402,-15.735756,-81.67693,5.20109,,1,1,1,1,1,1,1,0.30582166
1979.0234P,0.5859375,0.29444444444444445,0.3425925925925926,0.31536388140161725,0.39622641509433965,159,185,117,147,3.320816,84.05134,2.5685575,,1,1,1,1,1,2,1,0.009228804
1979.0236P,0.85546875,0.42242242242242245,0.5295295295295295,0.25177025963808025,0.3493312352478363,422,529,320,444,-24.049383,-45.03908,5.552849,,1,1,1,1,1,1,1,0.3897716
