title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"Livro de batismos de livres, 1675-1717",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\016 - Batismo de Livres 1675 - 1717,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:45971,45971,88,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Batismos de escravos, forros, e livres, 1713-1715",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,"\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\017 - Batismo de escravos, forros e livres 1712 - 1715",ESSSS/Brazil/Rio de Janeiro/Araruama/Capela de Nossa Senhora do Cabo da Fazenda Parati,,essss:46199,46199,15,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Fragmento de Livro de Batismo de Livres, 1853",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\018 - Fragmento de Livro de Batismo,ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:46200,46200,3,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Batismos de indios, escravos e livres, 1826-1829",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,"\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\019 - Batismo de indios, escravos e livres",ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:46201,46201,45,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Contabilidade, 1892-1893",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\020 - Livro de Contabilidade,ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:46202,46202,14,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Batismos, Casamentos, e Óbitos de Livres e Escravos, 1647-1721",Metadata in spreadsheet,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 001.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:74989,74989,438,10/25/17,,2017-10-25T00:00:00Z,10/25/17,
Temp 002.1,Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 002.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:72458,72458,597,10/25/17,,2017-10-25T00:00:00Z,10/25/17,
"[Livro de batismos de escravos e livres, 1792-1801]",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 003.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:73056,73056,315,10/25/17,,2017-10-25T00:00:00Z,10/25/17,
"Livro de Testamentos, 1733-1740",Metadata uploaded,Ingested,Ingested with passable metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 004.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:73372,73372,66,10/25/17,,2017-10-25T00:00:00Z,10/25/17,
"Livro de Casamentos, 1781-1807",Metadata uploaded,Ingested,Generated metadata/to be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 005.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:73439,73439,259,10/25/17,,2017-10-25T00:00:00Z,10/25/17,
