string,material,material1,material2,medium,surface
bamboo (inro); agate (ojime); root (netsuke),"['', '', '', '']",,,,
"bamboo pouch and cigarette holder, bamboo joint ojime","['bamboo pouch', 'cigarette holder, bamboo joint ojime', '', '']",bamboo pouch,"cigarette holder, bamboo joint ojime",,
bamboo root,"['', '', '', '']",,,,
bamboo with metal hinged lid,"['', '', '', '']",,,,
batik and painting on silk,"['', '', 'batik and painting', 'silk']",,,batik and painting,silk
bizen ware,"['', '', '', '']",,,,
"black & brown lacquer inro, coral ojime, ivory netsuke","['', '', '', '']",,,,
black lacquer with inlaid mother of pearl and ivory,"['black lacquer with inlaid mother of pearl', 'ivory', '', '']",black lacquer with inlaid mother of pearl,ivory,,
black lacquer with mother-of-pearl inlay,"['', '', '', '']",,,,
black lacquer with red and gold lacquer,"['black lacquer with red', 'gold lacquer', '', '']",black lacquer with red,gold lacquer,,
black metal and gold,"['black metal', 'gold', '', '']",black metal,gold,,
"blind intaglio and screenprints, with hand-set text printed letterpress on 300 gsm Somerset rag-made paper","['', '', 'blind intaglio and screenprints, with hand-set text printed letterpress', '300 gsm Somerset rag-made paper']",,,"blind intaglio and screenprints, with hand-set text printed letterpress",300 gsm Somerset rag-made paper
bone,"['bone', '', '', '']",bone,,,
bone and silver,"['bone', 'silver', '', '']",bone,silver,,
bone with wood inlay,"['', '', '', '']",,,,
book,"['book', '', '', '']",book,,,
"book, inkjet-print","['', '', '', '']",,,,
"book, letterpress","['', '', '', '']",,,,
brass,"['brass', '', '', '']",brass,,,
bronze,"['bronze', '', '', '']",bronze,,,
bronze (metal),"['', '', '', '']",,,,
bronze with a rattan-wrapped handle,"['', '', '', '']",,,,
bronze with gilding,"['', '', '', '']",,,,
bronze with gold inlay,"['', '', '', '']",,,,
bronze with rattan-wrapped handle,"['', '', '', '']",,,,
bronze with rattan-wrapped handle; lacquered wood box,"['', '', '', '']",,,,
bronze with silver and gilt,"['bronze with silver', 'gilt', '', '']",bronze with silver,gilt,,
bronze with traces of gilt,"['', '', '', '']",,,,
"bronze, gilt, and silver","['bronze, gilt,', 'silver', '', '']","bronze, gilt,",silver,,
"bronze, originally enamelled (traces visible)","['', '', '', '']",,,,
"bronze, with a rattan-wrapped handle","['', '', '', '']",,,,
carved bamboo with metal hinges and clasp,"['carved bamboo with metal hinges', 'clasp', '', '']",carved bamboo with metal hinges,clasp,,
carved black lacquer,"['', '', '', '']",,,,
carved palm root,"['', '', '', '']",,,,
ceramic,"['ceramic', '', '', '']",ceramic,,,
ceramic (material),"['', '', '', '']",,,,
ceramics,"['ceramics', '', '', '']",ceramics,,,
cherry bark,"['', '', '', '']",,,,
chromolithograph,"['chromolithograph', '', '', '']",chromolithograph,,,
chromolithographs,"['chromolithographs', '', '', '']",chromolithographs,,,
clay,"['clay', '', '', '']",clay,,,
clay and paint,"['clay', 'paint', '', '']",clay,paint,,
cloisonné,"['cloisonné', '', '', '']",cloisonné,,,
color and gold on gold paper; bamboo ribs,"['', '', 'color and gold', 'gold paper; bamboo ribs']",,,color and gold,gold paper; bamboo ribs
color and silver on silver paper with black lacquered ribs,"['', '', 'color and silver', 'silver paper with black lacquered ribs']",,,color and silver,silver paper with black lacquered ribs
color etching,"['', '', '', '']",,,,
cotton,"['cotton', '', '', '']",cotton,,,
cotton with blue and gray,"['cotton with blue', 'gray', '', '']",cotton with blue,gray,,
cotton with dark blue & black,"['', '', '', '']",,,,
cotton with whitework,"['', '', '', '']",,,,
covered with bamboo strips; metal hinged lid,"['', '', '', '']",,,,
cut paper,"['', '', '', '']",,,,
cut-paper work,"['', '', '', '']",,,,
damascene metal ware,"['', '', '', '']",,,,
damascene ware,"['', '', '', '']",,,,
depression glass,"['', '', '', '']",,,,
drypoint etching,"['', '', '', '']",,,,
earthenware,"['earthenware', '', '', '']",earthenware,,,
engraving,"['engraving', '', '', '']",engraving,,,
engraving (printing process),"['', '', '', '']",,,,
etching,"['etching', '', '', '']",etching,,,
etching (printing process),"['', '', '', '']",,,,
etching on antique paper,"['', '', 'etching', 'antique paper']",,,etching,antique paper
etching on chine collé,"['', '', 'etching', 'chine collé']",,,etching,chine collé
gelatin silver print,"['', '', '', '']",,,,
gilded bronze,"['', '', '', '']",,,,
gilt metal,"['', '', '', '']",,,,
glazed porcelain,"['', '', '', '']",,,,
glazed stoneware,"['', '', '', '']",,,,
glazed stoneware with wooden box,"['', '', '', '']",,,,
gold (metal),"['', '', '', '']",,,,
gold and black lacquer,"['gold', 'black lacquer', '', '']",gold,black lacquer,,
granite,"['granite', '', '', '']",granite,,,
hand colored engraving,"['', '', '', '']",,,,
hand colored lithograph,"['', '', '', '']",,,,
ink and color on paper,"['', '', 'ink and color', 'paper']",,,ink and color,paper
ink and color on silk,"['', '', 'ink and color', 'silk']",,,ink and color,silk
ink and color on silk (possibly printed),"['', '', 'ink and color', 'silk (possibly printed)']",,,ink and color,silk (possibly printed)
ink and color on wood,"['', '', 'ink and color', 'wood']",,,ink and color,wood
ink and slight color on silk,"['', '', 'ink and slight color', 'silk']",,,ink and slight color,silk
ink on paper,"['', '', 'ink', 'paper']",,,ink,paper
"ink on paper, bamboo ribs","['', '', 'ink', 'paper, bamboo ribs']",,,ink,"paper, bamboo ribs"
ink on silk,"['', '', 'ink', 'silk']",,,ink,silk
ink wash on paper,"['', '', 'ink wash', 'paper']",,,ink wash,paper
ink with tempera on parchment,"['', '', 'ink with tempera', 'parchment']",,,ink with tempera,parchment
"ink, color, & gold on paper; black lacquered ribs","['', '', 'ink, color, & gold', 'paper; black lacquered ribs']",,,"ink, color, & gold",paper; black lacquered ribs
"ink, color, and gold on paper","['', '', 'ink, color, and gold', 'paper']",,,"ink, color, and gold",paper
"ink, color, and gold on paper; bamboo ribs","['', '', 'ink, color, and gold', 'paper; bamboo ribs']",,,"ink, color, and gold",paper; bamboo ribs
"ink, color, gold, and fibers on paper; bamboo ribs","['', '', 'ink, color, gold, and fibers', 'paper; bamboo ribs']",,,"ink, color, gold, and fibers",paper; bamboo ribs
"ink, color, gold, and silver on paper; bamboo ribs","['', '', 'ink, color, gold, and silver', 'paper; bamboo ribs']",,,"ink, color, gold, and silver",paper; bamboo ribs
"ink, slight color, & gold on silk","['', '', 'ink, slight color, & gold', 'silk']",,,"ink, slight color, & gold",silk
iron,"['iron', '', '', '']",iron,,,
iron with bronze inlay,"['', '', '', '']",,,,
iron with gold inlay,"['', '', '', '']",,,,
iron with inlay,"['', '', '', '']",,,,
ivory,"['ivory', '', '', '']",ivory,,,
ivory (tooth component),"['', '', '', '']",,,,
ivory and wood,"['ivory', 'wood', '', '']",ivory,wood,,
jade,"['jade', '', '', '']",jade,,,
jade (rock),"['', '', '', '']",,,,
jadeite,"['jadeite', '', '', '']",jadeite,,,
jute,"['jute', '', '', '']",jute,,,
lace,"['lace', '', '', '']",lace,,,
lacquered wood,"['', '', '', '']",,,,
lacquerware,"['lacquerware', '', '', '']",lacquerware,,,
leather and bone,"['leather', 'bone', '', '']",leather,bone,,
leather with gilt bronze clasp (pouch); ivory (ojime); bone (pipe case); bamboo with silver mouthpiece & bowl (pipe),"['', '', '', '']",,,,
leather with metal clasp (pouch); agate (ojime); wood (pipe case); bamboo with silver mouthpiece & bowl (pipe),"['', '', '', '']",,,,
leather with metal clasp (pouch); bamboo (case); coral (ojime); bamboo with silver mouthpiece & bowl(pipe),"['', '', '', '']",,,,
letterpress print,"['', '', '', '']",,,,
linocuts (prints),"['', '', '', '']",,,,
lithograph,"['lithograph', '', '', '']",lithograph,,,
lithographs,"['lithographs', '', '', '']",lithographs,,,
marble and metal,"['marble', 'metal', '', '']",marble,metal,,
metal,"['metal', '', '', '']",metal,,,
metal and green glass,"['metal', 'green glass', '', '']",metal,green glass,,
mezzotint (process),"['', '', '', '']",,,,
monoprint,"['monoprint', '', '', '']",monoprint,,,
nephrite and serpentine,"['nephrite', 'serpentine', '', '']",nephrite,serpentine,,
offset Lithography and stamp,"['offset Lithography', 'stamp', '', '']",offset Lithography,stamp,,
offset lithograph,"['', '', '', '']",,,,
offset lithographs,"['', '', '', '']",,,,
oil on canvas,"['', '', 'oil', 'canvas']",,,oil,canvas
oil on copper,"['', '', 'oil', 'copper']",,,oil,copper
oil paint,"['', '', '', '']",,,,
oil paint (pigmented coating),"['', '', '', '']",,,,
orange & white batik on brown or black cotton,"['', '', 'orange & white batik', 'brown or black cotton']",,,orange & white batik,brown or black cotton
"orange, yellow, white, and blue batik on black cotton","['', '', 'orange, yellow, white, and blue batik', 'black cotton']",,,"orange, yellow, white, and blue batik",black cotton
"painted leather over wood, decorated with gilt","['', '', '', '']",,,,
painted mud with feathers and teeth,"['painted mud with feathers', 'teeth', '', '']",painted mud with feathers,teeth,,
painted plaster,"['', '', '', '']",,,,
painted wood,"['', '', '', '']",,,,
palm wood,"['', '', '', '']",,,,
panel,"['panel', '', '', '']",panel,,,
paper and wood,"['paper', 'wood', '', '']",paper,wood,,
papier mâché,"['', '', '', '']",,,,
parian ware,"['', '', '', '']",,,,
pen-and-wash drawing,"['', '', '', '']",,,,
pen-and-wash drawings,"['', '', '', '']",,,,
pen-and-wash on paper,"['', '', 'pen-and-wash', 'paper']",,,pen-and-wash,paper
photo reproductions,"['', '', '', '']",,,,
photoengraving,"['photoengraving', '', '', '']",photoengraving,,,
photographic prints,"['', '', '', '']",,,,
photolithography,"['photolithography', '', '', '']",photolithography,,,
pitch and red berries,"['pitch', 'red berries', '', '']",pitch,red berries,,
polychromed terra cotta,"['', '', '', '']",,,,
polychromed terracotta,"['', '', '', '']",,,,
porcelain,"['porcelain', '', '', '']",porcelain,,,
porcelain with brown glaze,"['', '', '', '']",,,,
porcelain with celadon glaze,"['', '', '', '']",,,,
porcelain with glaze,"['', '', '', '']",,,,
porcelain with green and white glaze,"['porcelain with green', 'white glaze', '', '']",porcelain with green,white glaze,,
porcelain with green glaze,"['', '', '', '']",,,,
porcelain with underglaze blue,"['', '', '', '']",,,,
porcelain with underglaze blue design of dragons,"['', '', '', '']",,,,
porcelain with white glaze,"['', '', '', '']",,,,
poster,"['poster', '', '', '']",poster,,,
print on Hahnemühle Photorag Fine Art paper,"['', '', 'print', 'Hahnemühle Photorag Fine Art paper']",,,print,Hahnemühle Photorag Fine Art paper
quartz crystal,"['', '', '', '']",,,,
red & black lacquered wood with mother-of-pearl inlay,"['', '', '', '']",,,,
reproduction,"['reproduction', '', '', '']",reproduction,,,
reproduction on paper; bamboo ribs,"['', '', 'reproduction', 'paper; bamboo ribs']",,,reproduction,paper; bamboo ribs
resin,"['resin', '', '', '']",resin,,,
screen print,"['', '', '', '']",,,,
screen prints,"['', '', '', '']",,,,
silk,"['silk', '', '', '']",silk,,,
silk with silk floss padding,"['', '', '', '']",,,,
silver,"['silver', '', '', '']",silver,,,
stencil print,"['', '', '', '']",,,,
stone,"['stone', '', '', '']",stone,,,
"stone, with gilt","['', '', '', '']",,,,
stoneware,"['stoneware', '', '', '']",stoneware,,,
stoneware (pottery),"['', '', '', '']",,,,
stoneware with brown glaze,"['', '', '', '']",,,,
stoneware with celadon glaze & iron oxide spots,"['', '', '', '']",,,,
stoneware with green overglaze,"['', '', '', '']",,,,
stoneware with tan on dark blue glaze,"['', '', 'stoneware with tan', 'dark blue glaze']",,,stoneware with tan,dark blue glaze
stoneware with temmoku glaze,"['', '', '', '']",,,,
tea stained ivory,"['', '', '', '']",,,,
teeth,"['teeth', '', '', '']",teeth,,,
terracotta,"['terracotta', '', '', '']",terracotta,,,
terracotta (clay material),"['', '', '', '']",,,,
"tie-dyed silk w/gold, silver, silk embroidery","['', '', '', '']",,,,
tortoise shell,"['', '', '', '']",,,,
tortoise shell and gold lacquer,"['tortoise shell', 'gold lacquer', '', '']",tortoise shell,gold lacquer,,
"tortoise shell with coral, shell, and ivory","['tortoise shell with coral, shell,', 'ivory', '', '']","tortoise shell with coral, shell,",ivory,,
tortoise shell with gilt bronze border,"['', '', '', '']",,,,
tortoise shell with gold & mother-of-pearl inlay,"['', '', '', '']",,,,
tortoise shell with gold lacquer,"['', '', '', '']",,,,
tortoise shell with gold leaf,"['', '', '', '']",,,,
tortoise shell with mother-of-pearl inlay,"['', '', '', '']",,,,
"various papers, silk, pencil, and ink","['various papers, silk, pencil,', 'ink', '', '']","various papers, silk, pencil,",ink,,
wood,"['wood', '', '', '']",wood,,,
wood and fur,"['wood', 'fur', '', '']",wood,fur,,
wood and metal,"['wood', 'metal', '', '']",wood,metal,,
wood and paint,"['wood', 'paint', '', '']",wood,paint,,
wood and paper,"['wood', 'paper', '', '']",wood,paper,,
wood covered with ray skin (handle); metal (kashira),"['', '', '', '']",,,,
"wood covered with ray skin (handle); metal (kashira, fuchi, menuki)","['', '', '', '']",,,,
wood engraving,"['', '', '', '']",,,,
wood engravings (prints),"['', '', '', '']",,,,
wood with traces of polychrome,"['', '', '', '']",,,,
"wood, metal, and crystal","['wood, metal,', 'crystal', '', '']","wood, metal,",crystal,,
wood-block print with brass handles,"['', '', '', '']",,,,
woodblock print,"['', '', '', '']",,,,
woodcut,"['woodcut', '', '', '']",woodcut,,,
woodcut and letter press on wove paper,"['', '', 'woodcut and letter press', 'wove paper']",,,woodcut and letter press,wove paper
wool,"['wool', '', '', '']",wool,,,
wove paper,"['', '', '', '']",,,,
woven bamboo case with wooden netsuke,"['', '', '', '']",,,,
woven bamboo with metal clasp,"['', '', '', '']",,,,
zelkova wood,"['', '', '', '']",,,,
