string,material,material1,material2,medium,surface
Collage and oil on canvas,"['', '', 'Collage and oil', 'canvas']",,,Collage and oil,canvas
Collage and watercolor on paper,"['', '', 'Collage and watercolor', 'paper']",,,Collage and watercolor,paper
Collage on board with graphite,"['', '', 'Collage', 'board with graphite']",,,Collage,board with graphite
Collage on board with graphite and paint,"['', '', 'Collage', 'board with graphite and paint']",,,Collage,board with graphite and paint
Collage with colored pencil,"['', '', '', '']",,,,
Collage with graphite,"['', '', '', '']",,,,
Collage/painting,"['Collage/painting', '', '', '']",Collage/painting,,,
Collograph,"['Collograph', '', '', '']",Collograph,,,
Collotype,"['Collotype', '', '', '']",Collotype,,,
Collotype with crayon or black chalk,"['', '', '', '']",,,,
Collotype with gouache and crayon or black chalk,"['Collotype with gouache', 'crayon or black chalk', '', '']",Collotype with gouache,crayon or black chalk,,
Color lithograph,"['', '', '', '']",,,,
Color on paper,"['', '', 'Color', 'paper']",,,Color,paper
Color on silk,"['', '', 'Color', 'silk']",,,Color,silk
Color print,"['', '', '', '']",,,,
Color woodblock print,"['', '', '', '']",,,,
"Colored iron oxide, muttonfat nephrite jade","['', '', '', '']",,,,
Colored pencil,"['', '', '', '']",,,,
Colored pencil and graphite,"['Colored pencil', 'graphite', '', '']",Colored pencil,graphite,,
Colored pencil and graphite on paper,"['', '', 'Colored pencil and graphite', 'paper']",,,Colored pencil and graphite,paper
Colored pencil with graphite,"['', '', '', '']",,,,
Colored pencil with graphite and ink,"['Colored pencil with graphite', 'ink', '', '']",Colored pencil with graphite,ink,,
Colored stipple engraving,"['', '', '', '']",,,,
Conch shell,"['', '', '', '']",,,,
Conté Crayon on paper,"['', '', 'Conté Crayon', 'paper']",,,Conté Crayon,paper
Copper,"['Copper', '', '', '']",Copper,,,
Copper and brass,"['Copper', 'brass', '', '']",Copper,brass,,
Copper with blue & white champlevé enamel,"['', '', '', '']",,,,
Cotton,"['Cotton', '', '', '']",Cotton,,,
Crayon and oil on paper,"['', '', 'Crayon and oil', 'paper']",,,Crayon and oil,paper
Crayon on gold foil paper,"['', '', 'Crayon', 'gold foil paper']",,,Crayon,gold foil paper
"Crayon, pen and graphite on paper","['', '', 'Crayon, pen and graphite', 'paper']",,,"Crayon, pen and graphite",paper
Cut paper,"['', '', '', '']",,,,
Damascene (inlaid iron),"['', '', '', '']",,,,
Day-glo paint on wood,"['', '', 'Day-glo paint', 'wood']",,,Day-glo paint,wood
"Dedicated book, with original color pen drawing (part of inscription)","['', '', '', '']",,,,
Deep etching,"['', '', '', '']",,,,
"Digital and screen printed, Mohawk Superfine cover paper","['Digital', 'screen printed, Mohawk Superfine cover paper', '', '']",Digital,"screen printed, Mohawk Superfine cover paper",,
Digital chromogenic print,"['', '', '', '']",,,,
Digital pigment print,"['', '', '', '']",,,,
Digital pigment print on Hahnemule rag paper,"['', '', 'Digital pigment print', 'Hahnemule rag paper']",,,Digital pigment print,Hahnemule rag paper
Digital print on paper,"['', '', 'Digital print', 'paper']",,,Digital print,paper
Double-sided screen print on vellum,"['', '', 'Double-sided screen print', 'vellum']",,,Double-sided screen print,vellum
Drawing,"['Drawing', '', '', '']",Drawing,,,
Dry point,"['', '', '', '']",,,,
Drypoint,"['Drypoint', '', '', '']",Drypoint,,,
Drypoint and etching,"['Drypoint', 'etching', '', '']",Drypoint,etching,,
Drypoint etching,"['', '', '', '']",,,,
Duotone,"['Duotone', '', '', '']",Duotone,,,
Earthenware,"['Earthenware', '', '', '']",Earthenware,,,
Earthenware with Pigment,"['', '', '', '']",,,,
Earthenware with pigment,"['', '', '', '']",,,,
Earthenware with pigments,"['', '', '', '']",,,,
"Earthenware, white","['', '', '', '']",,,,
Electric-fired stoneware,"['', '', '', '']",,,,
Embellished metal,"['', '', '', '']",,,,
Embellished metal and ivory,"['Embellished metal', 'ivory', '', '']",Embellished metal,ivory,,
Embossed relief,"['', '', '', '']",,,,
Embroidered silk,"['', '', '', '']",,,,
Embroidered silk with gold thread,"['', '', '', '']",,,,
Embroidered silk with leather soles,"['', '', '', '']",,,,
"Embroidery with silver clasp and chain, inside-grayish velvet lining","['Embroidery with silver clasp', 'chain, inside-grayish velvet lining', '', '']",Embroidery with silver clasp,"chain, inside-grayish velvet lining",,
Enamel glazes,"['', '', '', '']",,,,
Enamel porcelain,"['', '', '', '']",,,,
Engraving,"['Engraving', '', '', '']",Engraving,,,
Engraving on laid paper,"['', '', 'Engraving', 'laid paper']",,,Engraving,laid paper
Engraving on vellum with hand illumination,"['', '', 'Engraving', 'vellum with hand illumination']",,,Engraving,vellum with hand illumination
Engraving on wove paper,"['', '', 'Engraving', 'wove paper']",,,Engraving,wove paper
Engraving with hand coloring in watercolor,"['', '', '', '']",,,,
"Engraving, hand colored","['', '', '', '']",,,,
Engravings,"['Engravings', '', '', '']",Engravings,,,
Etching,"['Etching', '', '', '']",Etching,,,
Etching and Mezzotint,"['Etching', 'Mezzotint', '', '']",Etching,Mezzotint,,
Etching and aquatint,"['Etching', 'aquatint', '', '']",Etching,aquatint,,
Etching and aquatint (on thin wove paper),"['Etching', 'aquatint (on thin wove paper)', '', '']",Etching,aquatint (on thin wove paper),,
"Etching and aquatint in one color, with sugar-lift aquatint in four colors","['Etching', 'aquatint in one color, with sugar-lift aquatint in four colors', '', '']",Etching,"aquatint in one color, with sugar-lift aquatint in four colors",,
Etching and chiaroscuro woodcut on laid paper,"['', '', 'Etching and chiaroscuro woodcut', 'laid paper']",,,Etching and chiaroscuro woodcut,laid paper
Etching and drypoint,"['Etching', 'drypoint', '', '']",Etching,drypoint,,
Etching and drypoint on laid paper,"['', '', 'Etching and drypoint', 'laid paper']",,,Etching and drypoint,laid paper
Etching and drypoint on wove paper,"['', '', 'Etching and drypoint', 'wove paper']",,,Etching and drypoint,wove paper
Etching and engraving,"['Etching', 'engraving', '', '']",Etching,engraving,,
Etching and mezzotint,"['Etching', 'mezzotint', '', '']",Etching,mezzotint,,
"Etching and sugar-lift aquatint in one color, with screenprinting in one color","['Etching', 'sugar-lift aquatint in one color, with screenprinting in one color', '', '']",Etching,"sugar-lift aquatint in one color, with screenprinting in one color",,
Etching and sugar-lift on chine collé,"['', '', 'Etching and sugar-lift', 'chine collé']",,,Etching and sugar-lift,chine collé
"Etching in one color, with sugar lift aquatint in five colors","['', '', '', '']",,,,
"Etching in one color, with sugar-lift aquatint in four colors","['', '', '', '']",,,,
"Etching in one color, with sugar-lift aquatint in six colors","['', '', '', '']",,,,
"Etching in one color, with sugar-lift aquatint in two colors","['', '', '', '']",,,,
Etching on buff wove paper,"['', '', 'Etching', 'buff wove paper']",,,Etching,buff wove paper
Etching on china collé,"['', '', 'Etching', 'china collé']",,,Etching,china collé
Etching on chine collé,"['', '', 'Etching', 'chine collé']",,,Etching,chine collé
Etching on handmade Acuario paper,"['', '', 'Etching', 'handmade Acuario paper']",,,Etching,handmade Acuario paper
Etching on heavy wove paper,"['', '', 'Etching', 'heavy wove paper']",,,Etching,heavy wove paper
Etching on laid paper,"['', '', 'Etching', 'laid paper']",,,Etching,laid paper
Etching on paper,"['', '', 'Etching', 'paper']",,,Etching,paper
Etching on silk,"['', '', 'Etching', 'silk']",,,Etching,silk
Etching on wove paper,"['', '', 'Etching', 'wove paper']",,,Etching,wove paper
Etching printed in blue/black with drypoint,"['', '', '', '']",,,,
Etching printed in white ink on black chine collé,"['', '', 'Etching printed in white ink', 'black chine collé']",,,Etching printed in white ink,black chine collé
Etching with aquatint,"['', '', '', '']",,,,
Etching with aquatint (on Rives Buff paper),"['', '', '', '']",,,,
Etching with carborundum,"['', '', '', '']",,,,
Etching with drypoint on wove paper,"['', '', 'Etching with drypoint', 'wove paper']",,,Etching with drypoint,wove paper
Etching with engraving on laid paper,"['', '', 'Etching with engraving', 'laid paper']",,,Etching with engraving,laid paper
Etching with flocking,"['', '', '', '']",,,,
Etching with hand coloring,"['', '', '', '']",,,,
Etching with watercolor,"['', '', '', '']",,,,
"Etching, Chine Collé","['', '', '', '']",,,,
"Etching, aquatint, silkscreen, gold leaf, in 4 colors","['', '', '', '']",,,,
"Etching, drypoint, acquatint and burnisher","['Etching, drypoint, acquatint', 'burnisher', '', '']","Etching, drypoint, acquatint",burnisher,,
