qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
Q569505,yes,yes,,,,"Kitaj, R. B.","American painter and printmaker, 1932-2007",R. B. Kitaj,"[""Kitaj, R. B. (American painter and printmaker, 1932-2007)""]"
Q938347,yes,yes,,,,Kitao Masanobu,"Japanese printmaker, illustrator, and writer, 1761-1816",Kitao Masanobu,"[""Kitao Masanobu (Japanese printmaker, illustrator, and writer, 1761-1816)""]"
Q3197564,yes,yes,,,,Kitao Masayoshi,"Japanese painter and printmaker, 1761-1824",Kitao Masayoshi,"[""Kitao Masayoshi (Japanese painter and printmaker, 1761-1824)""]"
Q3074364,yes,yes,,,,Kitao Shigemasa,"Japanese printmaker and poet, 1739-1820",Kitao Shigemasa,"[""Kitao Shigemasa (Japanese printmaker and poet, 1739-1820)""]"
Q66990937,yes,yes,,,,"Klimowski, Andrzej","Polish printmaker, born 1949",Andrzej Klimowski,"[""Klimowski, Andrzej (Polish printmaker, born 1949)""]"
Q44252,yes,yes,,,,"Klinger, Max","German painter, sculptor, and printmaker, 1857-1920",Max Klinger,"[""Klinger, Max (German painter, sculptor, and printmaker, 1857-1920)""]"
Q26703615,yes,yes,,,,"Knippers, Edward",1946-,Edward Knippers,"[""Knippers, Edward (1946-)""]"
,yes,no,,,,"Kniseley, Judy","-1964, ca.",Judy Kniseley,"[""Kniseley, Judy (-1964, ca.)""]"
Q154260,yes,yes,,,,"Kokoschka, Oskar","Austrian painter and printmaker, 1886-1980",Oskar Kokoschka,"[""Kokoschka, Oskar (Austrian painter and printmaker, 1886-1980)""]"
Q142472,yes,no,,,,"Kollwitz, Käthe","German printmaker and sculptor, 1867-1945",Käthe Kollwitz,"[""Kollwitz, Käthe (German printmaker and sculptor, 1867-1945)""]"
Q880221,yes,yes,,,,Komar and Melamid,"Russian painters and performance artists, active from 1965",Vitaly Komar,"[""Komar and Melamid (Russian painters and performance artists, active from 1965)""]"
Q43132705,yes,yes,,,,"Koopman, Augustus","American painter, etcher, and teacher, 1869-1914",Augustus Koopman,"[""Koopman, Augustus (American painter, etcher, and teacher, 1869-1914)""]"
Q16841977,yes,yes,,,,"Korine, Harmony","American filmmaker, born 1974",Harmony Korine,"[""Korine, Harmony (American filmmaker, born 1974)""]"
Q22712804,yes,yes,,,,"Koscianski, Leonard J.","American painter, born 1952",Leonard J. Koscianski,"[""Koscianski, Leonard J. (American painter, born 1952)""]"
,yes,yes,,,,Koshin,,Koshin,"[""Koshin""]"
Q724401,yes,yes,,,,"Kostabi, Mark","American painter and sculptor, born 1960",Mark Kostabi,"[""Kostabi, Mark (American painter and sculptor, born 1960)""]"
Q313113,yes,yes,,,,"Kosuth, Joseph","American conceptual artist, born 1945",Joseph Kosuth,"[""Kosuth, Joseph (American conceptual artist, born 1945)""]"
Q11817669,yes,yes,,,,"Kowalski, Piotr and Burroughs, William",,Piotr Kowalski,"[""Kowalski, Piotr and Burroughs, William""]"
Q237959,yes,yes,,,,"Krasner, Lee","American painter, 1908-1984",Lee Krasner,"[""Krasner, Lee (American painter, 1908-1984)""]"
,yes,no,,,,"Krauze, A",,A Krauze,"[""Krauze, A""]"
Q52151111,yes,yes,,,,"Krisel, Harold","American painter and printmaker, 1920-1995",Harold Krisel,"[""Krisel, Harold (American painter and printmaker, 1920-1995)""]"
Q67237646,yes,yes,,,,"Krueger, Michael","1967-, born Kenosha, WI",Michael Krueger,"[""Krueger, Michael (1967-, born Kenosha, WI)""]"
Q262284,yes,yes,,,,"Kruger, Barbara","American conceptual artist, designer, and writer, born 1945",Barbara Kruger,"[""Kruger, Barbara (American conceptual artist, designer, and writer, born 1945)""]"
Q1605029,yes,yes,,,,"Kruseman van Elten, Hendrik Dirk","Dutch painter, 1829-1904",Hendrik Dirk Kruseman van Elten,"[""Kruseman van Elten, Hendrik Dirk (Dutch painter, 1829-1904)""]"
Q1984917,yes,yes,,,,"Krushenick, Nicholas","American painter, 1929-1999",Nicholas Krushenick,"[""Krushenick, Nicholas (American painter, 1929-1999)""]"
Q3200184,yes,yes,,,,Kubo Shumman,"Japanese printmaker, painter, 1757-1820",Kubo Shumman,"[""Kubo Shumman (Japanese printmaker, painter, 1757-1820)""]"
Q62669042,yes,yes,,,,"Kuhn, Jon",1949-,Jon Kuhn,"[""Kuhn, Jon (1949-)""]"
Q3004216,yes,no,,,,"Kuninao,",Utagawa Taizo, Kuninao,"[""Kuninao, (Utagawa Taizo)  (1793-1854)""]"
,yes,yes,,,,Kunisada,"Japanese woodcutter and graphic artist, 1848-1920",Kunisada,"[""Kunisada (Japanese woodcutter and graphic artist, 1848-1920)""]"
Q11545119,yes,yes,,,,Kuniyasu,"Japanese printmaker, 1794-1832/1834",Kuniyasu,"[""Kuniyasu (Japanese printmaker, 1794-1832/1834)""]"
Q58212905,yes,yes,,,,"Kunkel, Don","1933-, born New Jersey",Don Kunkel,"[""Kunkel, Don (1933-, born New Jersey)""]"
Q17130120,yes,yes,,,,"Kurosaki, Akira","Japanese printmaker, born 1937",Akira Kurosaki,"[""Kurosaki, Akira (Japanese printmaker, born 1937)""]"
,yes,no,,,,"Kutner, Christophe",,Christophe Kutner,"[""Kutner, Christophe""]"
,yes,yes,,,,Kwannon,,Kwannon,"[""Kwannon""]"
,yes,no,,,,Kwasniewska,,Kwasniewska,"[""Kwasniewska""]"
,yes,no,,,,"La Rouke, Hector",,Hector La Rouke,"[""La Rouke, Hector""]"
Q1580955,yes,yes,,,,"Laabs, Hans","German painter, 1915-2004",Hans Laabs,"[""Laabs, Hans (German painter, 1915-2004)""]"
Q2012984,yes,no,,,,"Labisse, Félix","French painter, 1905-1982",Félix Labisse,"[""Labisse, Félix (French painter, 1905-1982)""]"
Q41261783,yes,yes,,,,"Labouchere, A.M.",,A.M. Labouchere,"[""Labouchere, A.M.""]"
,yes,no,,,,"Lacey, Ninon","1923-, born New Hampshire",Ninon Lacey,"[""Lacey, Ninon (1923-, born New Hampshire)""]"
,yes,no,,,,"Lafitte, Andrew",,Andrew Lafitte,"[""Lafitte, Andrew""]"
Q20950183,yes,no,,,,"Laguillermie, Frédéric","French painter, etcher, and illustrator, 1841-1934",Frédéric Laguillermie,"[""Laguillermie, Frédéric (French painter, etcher, and illustrator, 1841-1934)""]"
Q2059329,yes,yes,,,,"Lalanne, Maxime","French painter, etcher, and draftsman, 1827-1886",Maxime Lalanne,"[""Lalanne, Maxime (French painter, etcher, and draftsman, 1827-1886)""]"
Q465342,yes,yes,,,,"Lam, Wifredo","Cuban painter, sculptor, and draftsman, 1902-1982",Wifredo Lam,"[""Lam, Wifredo (Cuban painter, sculptor, and draftsman, 1902-1982)""]"
Q6528994,yes,yes,,,,"Lamis, Leroy","American sculptor, born 1925",Leroy Lamis,"[""Lamis, Leroy (American sculptor, born 1925)""]"
,yes,yes,,,,"Lancaster, Paul",,Paul Lancaster,"[""Lancaster, Paul""]"
Q2871039,yes,yes,,,,"Lancon, Auguste Andre","French painter, 1836-1887",Auguste Andre Lancon,"[""Lancon, Auguste Andre (French painter, 1836-1887)""]"
Q7151935,yes,yes,,,,"Landacre, Paul","American woodcutter, illustrator, and graphic artist, 1893-1963",Paul Landacre,"[""Landacre, Paul (American woodcutter, illustrator, and graphic artist, 1893-1963)""]"
,yes,no,,,,"Landry, G.",,G. Landry,"[""Landry, G.""]"
Q95761439,yes,yes,,,,"Langlois, Pierre Gabriel","French engraver, 1754-ca. 1810",Pierre Gabriel Langlois,"[""Langlois, Pierre Gabriel (French engraver, 1754-ca. 1810)""]"
,yes,no,,,,"Langworthy, Sara",,Sara Langworthy,"[""Langworthy, Sara""]"
Q321657,yes,no,,,,"Lanskoy, André","French tapestry designer, mosaicist, painter, 1902-1976",André Lanskoy,"[""Lanskoy, André (French tapestry designer, mosaicist, painter, 1902-1976)""]"
Q78164423,yes,yes,,,,"Lansner, Fay G.","American painter and tapestry designer, born 1921",Fay G. Lansner,"[""Lansner, Fay G. (American painter and tapestry designer, born 1921)""]"
Q3435664,yes,yes,,,,"Lapoujade, Robert","French painter, 1921-1993",Robert Lapoujade,"[""Lapoujade, Robert (French painter, 1921-1993)""]"
,yes,yes,,,,"Larmessin, Nicolas, III","French engraver, ca.1640-1725",Nicolas Larmessin III,"[""Larmessin, Nicolas, III (French engraver, ca.1640-1725)""]"
Q21486072,yes,no,,,,"Larraín, Emilio Rodríguez","Peruvian painter, born 1927",Emilio Rodríguez Larraín,"[""Larraín, Emilio Rodríguez (Peruvian painter, born 1927)""]"
Q1471865,yes,yes,,,,"Lassaw, Ibram","American sculptor, 1913-2003",Ibram Lassaw,"[""Lassaw, Ibram (American sculptor, 1913-2003)""]"
Q20859511,yes,yes,,,,"Laufman, Sidney","American painter, 1891-1985",Sidney Laufman,"[""Laufman, Sidney (American painter, 1891-1985)""]"
,yes,no,,,,"Laurencian, Marie",1885-1956,Marie Laurencian,"[""Laurencian, Marie (1885-1956)""]"
Q7346738,yes,yes,,,,"Laurent, Robert","American sculptor, 1890-1970",Robert Laurent,"[""Laurent, Robert (American sculptor, 1890-1970)""]"
Q2527625,yes,yes,,,,"Lauwers, Nicolaes","Flemish engraver, publisher, and dealer, 1600-1652",Nicolaes Lauwers,"[""Lauwers, Nicolaes (Flemish engraver, publisher, and dealer, 1600-1652)""]"
Q56099,yes,yes,,,,"Lavadour, James","Native American painter, born 1951",James Lavadour,"[""Lavadour, James (Native American painter, born 1951)""]"
,yes,no,,,,"Lavender, Randall",b. 1956,Randall Lavender,"[""Lavender, Randall (b. 1956)""]"
Q93232541,yes,yes,,,,"Lawrence, Irene",", born CA",Irene Lawrence,"[""Lawrence, Irene (, born CA)""]"
Q312096,yes,yes,,,,"Lawrence, Thomas","English painter, 1769-1830",Thomas Lawrence,"[""Lawrence, Thomas (English painter, 1769-1830)""]"
Q280936,yes,yes,,,,"Le Bas, Jacques Philippe","French engraver and draftsman, 1707-1783",Jacques Philippe Le Bas,"[""Le Bas, Jacques Philippe (French engraver and draftsman, 1707-1783)""]"
Q271676,yes,yes,,,,"Le Brun, Charles","French designer, painter, and draftsman, 1619-1690",Charles Le Brun,"[""Le Brun, Charles (French designer, painter, and draftsman, 1619-1690)""]"
Q1805696,yes,no,,,,"Le Clerc, Sébastien, the elder","French draftsman and engraver, 1637-1714",Sébastien Le Clerc the elder,"[""Le Clerc, Sébastien, the elder (French draftsman and engraver, 1637-1714)""]"
Q47512777,yes,yes,,,,Le Corbusier,"Swiss architect, painter, and theorist, 1887-1965, active in France",Le Corbusier,"[""Le Corbusier (Swiss architect, painter, and theorist, 1887-1965, active in France)""]"
Q562013,yes,yes,,,,"Le Prince, Jean-Baptiste","French painter and draftsman, 1734-1781",Jean-Baptiste Le Prince,"[""Le Prince, Jean-Baptiste (French painter and draftsman, 1734-1781)""]"
Q2898210,yes,yes,,,,"Leach, Bernard","English potter, 1887-1979",Bernard Leach,"[""Leach, Bernard (English potter, 1887-1979)""]"
Q99590174,yes,yes,,,,"Leach, David","British potter, active 20th century",David Leach,"[""Leach, David (British potter, active 20th century)""]"
,yes,yes,,,,"Leach, John",,John Leach,"[""Leach, John""]"
Q21151324,yes,yes,,,,"Leaf, Ruth","American printmaker and author, contemporary",Ruth Leaf,"[""Leaf, Ruth (American printmaker and author, contemporary)""]"
Q56617289,yes,yes,,,,"Leblond, Abraham","British engraver, 1819-1894",Abraham Leblond,"[""Leblond, Abraham (British engraver, 1819-1894)""]"
Q157183,yes,no,,,,"Léger, Fernand","French painter, 1881-1955",Fernand Léger,"[""Léger, Fernand (French painter, 1881-1955)""]"
,yes,no,,,,"Legge, Willow",1934-,Willow Legge,"[""Legge, Willow (1934-)""]"
Q957538,yes,yes,,,,"Legros, Alphonse","French and British etcher, painter, and sculptor, 1837-1911",Alphonse Legros,"[""Legros, Alphonse (French and British etcher, painter, and sculptor, 1837-1911)""]"
Q160252,yes,yes,,,,"Leighton, Frederic, 1st Baron Leighton of Stretton","English painter and sculptor, 1830-1896; 1st Baron Leighton of Stretton",Frederic Leighton,"[""Leighton, Frederic, 1st Baron Leighton of Stretton (English painter and sculptor, 1830-1896)""]"
,yes,yes,,,,Lemercier,,Lemercier,"[""Lemercier""]"
,yes,no,,,,Lemoir,,Lemoir,"[""Lemoir""]"
,yes,no,,,,"Lenerts, Cis",1940,Cis Lenerts,"[""Lenerts, Cis (1940)""]"
Q3056456,yes,yes,,,,"Lennard, Erica","American photographer, born 1950",Erica Lennard,"[""Lennard, Erica (American photographer, born 1950)""]"
,yes,no,,,,"Lent, Lillian",,Lillian Lent,"[""Lent, Lillian""]"
,yes,no,,,,"Lentrein, Charlotte",,Charlotte Lentrein,"[""Lentrein, Charlotte""]"
,yes,no,,,,"LeQuire, Louise",,Louise LeQuire,"[""LeQuire, Louise"",""Lequire, Louise""]"
Q3069483,yes,yes,,,,"Lerin, Fernando","1929-2016, born Barcelona, Spain",Fernando Lerin,"[""Lerin, Fernando (1929-2016, born Barcelona, Spain)""]"
Q18508038,yes,no,,,,"Levachez, Charles François Gabriel, I","French printmaker, active late 18th-early 19th centuries",Charles François Gabriel Levachez,"[""Levachez, Charles François Gabriel, I (French printmaker, active late 18th-early 19th centuries)""]"
Q141478,yes,yes,,,,"Levine, David","American painter, caricaturist, illustrator, 1926-2009",David Levine,"[""Levine, David (American painter, caricaturist, illustrator, 1926-2009)""]"
Q18023286,yes,yes,,,,"Levine, Les","Canadian sculptor and video artist, born 1935",Les Levine,"[""Levine, Les (Canadian sculptor and video artist, born 1935)""]"
,yes,no,,,,"Levy, Tibbie",1908-,Tibbie Levy,"[""Levy, Tibbie (1908-)""]"
Q95781192,yes,yes,,,,"Lewen, Si","American painter, born 1918",Si Lewen,"[""Lewen, Si (American painter, born 1918)""]"
Q6776001,yes,yes,,,,"Lewis, Martin","American painter, 1881-1962",Martin Lewis,"[""Lewis, Martin (American painter, 1881-1962)""]"
Q168587,yes,yes,,,,"Lewitt, Sol and Celan, Paul","1928-2007, 1920-1970",Sol Lewitt,"[""Lewitt, Sol and Celan, Paul (1928-2007, 1920-1970)""]"
Q565457,yes,yes,,,,"Leyendecker, Joseph Christian","American painter, illustrator, 1874-1951",Joseph Christian Leyendecker,"[""Leyendecker, Joseph Christian (American painter, illustrator, 1874-1951)""]"
,yes,yes,,,,"Leymarie, Jean",,Jean Leymarie,"[""Leymarie, Jean""]"
Q1374872,yes,yes,,,,Liberale da Verona,"Italian painter and illuminator, ca. 1445-ca. 1526",Liberale da Verona,"[""Liberale da Verona (Italian painter and illuminator, ca. 1445-ca. 1526)""]"
Q151679,yes,yes,,,,"Lichtenstein, Roy","American painter, sculptor, and printmaker, 1923-1997",Roy Lichtenstein,"[""Lichtenstein, Roy (American painter, sculptor, and printmaker, 1923-1997)""]"
Q22237088,yes,yes,,,,"Liefooghe, Frank","1943-, born Ypres",Frank Liefooghe,"[""Liefooghe, Frank (1943-, born Ypres)"",""Liefooghe, Frank (1943-)""]"
,yes,no,,,,Lihacault,,Lihacault,"[""Lihacault""]"
Q5496654,yes,yes,,,,"Lingstrom, Freda","1893-1989, born Chelsea, London",Freda Lingstrom,"[""Lingstrom, Freda (1893-1989, born Chelsea, London)""]"
Q659858,yes,yes,,,,"Lipton, Seymour","American sculptor, 1903-1986",Seymour Lipton,"[""Lipton, Seymour (American sculptor, 1903-1986)""]"
Q15488059,yes,yes,,,,"Littleton, Harvey K.","American sculptor, born 1922",Harvey K. Littleton,"[""Littleton, Harvey K. (American sculptor, born 1922)""]"
Q1616131,yes,yes,,,,"Lizars, William Home","Scottish painter and engraver, 1788-1859",William Home Lizars,"[""Lizars, William Home (Scottish painter and engraver, 1788-1859)""]"
Q17466741,yes,yes,,,,"Lobdell, Frank","American painter, born 1921",Frank Lobdell,"[""Lobdell, Frank (American painter, born 1921)""]"
,yes,no,,,,"Loberg, Robert W.","1927-1999, born Chicago, IL",Robert W. Loberg,"[""Loberg, Robert W. (1927-1999, born Chicago, IL)""]"
Q2425847,yes,yes,,,,"Locher, Thomas","German conceptual artist, born 1956",Thomas Locher,"[""Locher, Thomas (German conceptual artist, born 1956)""]"
Q18217593,yes,yes,,,,"Lodi, Giovanni Agostino da","Italian painter, active ca. 1467-ca. 1524",Giovanni Agostino da Lodi,"[""Lodi, Giovanni Agostino da (Italian painter, active ca. 1467-ca. 1524)""]"
Q29047374,yes,yes,,,,"Logemann, Jane Marie","1942-, born Milwaukee, WI",Jane Marie Logemann,"[""Logemann, Jane Marie (1942-, born Milwaukee, WI)"",""Logemann, Jane (1942-, born Milwaukee, WI)""]"
Q369279,yes,yes,,,,"Lombardo, Pietro","Italian architect and sculptor, ca. 1435-1515",Pietro Lombardo,"[""Lombardo, Pietro (Italian architect and sculptor, ca. 1435-1515)""]"
Q368645,yes,yes,,,,"Long, Richard","English sculptor and conceptual artist, born 1945",Richard Long,"[""Long, Richard (English sculptor and conceptual artist, born 1945)""]"
Q55219270,yes,yes,,,,"Longo, Vincent","American painter, born 1923",Vincent Longo,"[""Longo, Vincent (American painter, born 1923)""]"
Q56025387,yes,yes,,,,"Lorentz, Alcide Joseph","French painter, draftsman, and printmaker, born 1813",Alcide Joseph Lorentz,"[""Lorentz, Alcide Joseph (French painter, draftsman, and printmaker, born 1813)""]"
Q2254738,yes,yes,,,,Lorenzo di Bicci,"Italian painter, ca. 1350-ca. 1427",Lorenzo di Bicci,"[""Lorenzo di Bicci (Italian painter, ca. 1350-ca. 1427)""]"
Q1970087,yes,yes,,,,"Loutherbourg, Philip James de","French painter and scenographer, 1740-1812, active in Great Britain",Philip James de Loutherbourg,"[""Loutherbourg, Philip James de (French painter and scenographer, 1740-1812, active in Great Britain)""]"
,yes,yes,,,,"Loy, William",1930-,William Loy,"[""Loy, William (1930-)""]"
Q15109511,yes,yes,,,,"Lucas, Horatio Joseph","English etcher, 1839-1873",Horatio Joseph Lucas,"[""Lucas, Horatio Joseph (English etcher, 1839-1873)""]"
,yes,no,,,,"Lukas, Dennis","1947-, born Hamilton, Ontario",Dennis Lukas,"[""Lukas, Dennis (1947-, born Hamilton, Ontario)""]"
Q59507385,yes,yes,,,,"Luks, George Benjamin","American painter and printmaker, 1867-1933",George Benjamin Luks,"[""Luks, George Benjamin (American painter and printmaker, 1867-1933)""]"
,yes,no,,,,"Lurnson, Mon",,Mon Lurnson,"[""Lurnson, Mon""]"
,yes,no,,,,"Lustyk, Danka",,Danka Lustyk,"[""Lustyk, Danka""]"
,yes,no,,,,"Lyles, Karen Leonard",1955-,Karen Leonard Lyles,"[""Lyles, Karen Leonard (1955-)""]"
,yes,no,,,,"Lyons, T. Harrington",,T. Harrington Lyons,"[""Lyons, T. Harrington""]"
,yes,no,,,,"Mabuchi, Toru","1920-1994, born Tokyo, Japan",Toru Mabuchi,"[""Mabuchi, Toru (1920-1994, born Tokyo, Japan)""]"
Q3188753,yes,yes,,,,"Machard, Jules Louis","French painter, 1839-1900",Jules Louis Machard,"[""Machard, Jules Louis (French painter, 1839-1900)""]"
,yes,yes,,,,"MacKenzie, David","British architect, 20th century",David MacKenzie,"[""MacKenzie, David (British architect, 20th century)""]"
,yes,yes,,,,Mackert,,Mackert,"[""Mackert""]"
Q29373888,yes,yes,,,,"MacLaughlan, Donald Shaw","American etcher and painter, 1876-1938, born in Canada",Donald Shaw MacLaughlan,"[""MacLaughlan, Donald Shaw (American etcher and painter, 1876-1938, born in Canada)""]"
,yes,yes,,,,"MacLean, William",1897-1977,William MacLean,"[""MacLean, William (1897-1977)""]"
,yes,no,,,,"Magnan, Oscar","1937-, born Cienfuegos, Cuba",Oscar Magnan,"[""Magnan, Oscar (1937-, born Cienfuegos, Cuba)""]"
Q153920,yes,yes,,,,"Maillol, Aristide","French sculptor, painter, and tapestry designer, 1861-1944",Aristide Maillol,"[""Maillol, Aristide (French sculptor, painter, and tapestry designer, 1861-1944)""]"
,yes,no,,,,"Maine, Stephen","1958-, born Hartford, CT",Stephen Maine,"[""Maine, Stephen (1958-, born Hartford, CT)""]"
Q16014925,yes,yes,,,,"Maki, Haku","1924-2000, born Asomachi, Ibaragi Province",Haku Maki,"[""Maki, Haku (1924-2000, born Asomachi, Ibaragi Province)""]"
,yes,no,,,,"Malik, H.J.",,H.J. Malik,"[""Malik, H.J.""]"
Q3164251,yes,yes,,,,"Mallet, Jean Baptiste","French painter and printmaker, 1759-1835",Jean Baptiste Mallet,"[""Mallet, Jean Baptiste (French painter and printmaker, 1759-1835)""]"
Q46139,yes,yes,,,,Man Ray,"American painter and photographer, 1890-1976",Man Ray,"[""Man Ray (American painter and photographer, 1890-1976)""]"
Q664268,yes,yes,,,,"Manessier, Alfred","French painter and printmaker, 1911-1993",Alfred Manessier,"[""Manessier, Alfred (French painter and printmaker, 1911-1993)""]"
Q63037298,yes,yes,,,,"Mann, Katinka","1925-, born New York, NY",Katinka Mann,"[""Mann, Katinka (1925-, born New York, NY)""]"
Q256434,yes,yes,,,,"Mann, Sally","American photographer, born 1951",Sally Mann,"[""Mann, Sally (American photographer, born 1951)""]"
Q63037456,yes,yes,,,,"Manter, Nancy",1952-,Nancy Manter,"[""Manter, Nancy (1952-)""]"
Q63037456,yes,yes,,,,"Manter, Nancy","1952-, born Maine",Nancy Manter,"[""Manter, Nancy (1952-, born Maine)""]"
Q312786,yes,yes,,,,"Mapplethorpe, Robert","American photographer, sculptor, and collagist, 1946-1989",Robert Mapplethorpe,"[""Mapplethorpe, Robert (American photographer, sculptor, and collagist, 1946-1989)""]"
Q472846,yes,yes,,,,"Marca-Relli, Conrad","American painter, 1913-2000",Conrad Marca-Relli,"[""Marca-Relli, Conrad (American painter, 1913-2000)""]"
Q61507,yes,yes,,,,"Marcks, Gerhard","German sculptor, draftsman, and printmaker, 1889-1981",Gerhard Marcks,"[""Marcks, Gerhard (German sculptor, draftsman, and printmaker, 1889-1981)""]"
,yes,yes,,,,"Marcus, Caleb Cain","1978-, born U.S.A.",Caleb Cain Marcus,"[""Marcus, Caleb Cain (1978-, born U.S.A.)""]"
Q55946252,yes,yes,,,,"Marí Ribas, Antoni","Spanish painter, 1906-1974",Antoni Marí Ribas,"[""Marí Ribas, Antoni (Spanish painter, 1906-1974)""]"
Q322341,yes,yes,,,,"Mariette, Pierre-Jean","French printmaker, 1694-1774",Pierre-Jean Mariette,"[""Mariette, Pierre-Jean (French printmaker, 1694-1774)""]"
Q55091828,yes,yes,,,,"Marin, Joseph-Charles","French sculptor, 1759-1834",Joseph-Charles Marin,"[""Marin, Joseph-Charles (French sculptor, 1759-1834)""]"
,yes,no,,,,"Marsh, Cynthia",,Cynthia Marsh,"[""Marsh, Cynthia""]"
Q22958009,yes,yes,,,,"Marsh, Lucile Patterson","1890-1978, born Rapid City, SD",Lucile Patterson Marsh,"[""Marsh, Lucile Patterson (1890-1978, born Rapid City, SD)""]"
Q7308806,yes,yes,,,,"Marsh, Reginald","American painter, 1898-1954",Reginald Marsh,"[""Marsh, Reginald (American painter, 1898-1954)""]"
Q33123451,yes,yes,,,,Martin Barooshian,1929 CE-,Martin Barooshian,"[""Martin Barooshian (1929 CE-)""]"
Q640339,yes,yes,,,,"Martin, Kenneth","English painter and sculptor, 1905-1984",Kenneth Martin,"[""Martin, Kenneth (English painter and sculptor, 1905-1984)""]"
Q28957451,yes,yes,,,,"Martinez, Juan","Spanish painter, born 1942",Juan Martinez,"[""Martinez, Juan (Spanish painter, born 1942)""]"
Q5978282,yes,no,,,,"Martínez, Raúl","Cuban painter, 1927-1995",Raúl Martínez,"[""Martínez, Raúl (Cuban painter, 1927-1995)""]"
Q559297,yes,yes,,,,"Masereel, Frans","Belgian painter and printmaker, 1889-1972",Frans Masereel,"[""Masereel, Frans (Belgian painter and printmaker, 1889-1972)""]"
Q97095687,yes,yes,,,,"Massin, Eugene","1920-2003, died Miami, FL",Eugene Massin,"[""Massin, Eugene (1920-2003, died Miami, FL)""]"
Q312529,yes,yes,,,,"Masson, André","French painter and author, 1896-1987",André Masson,"[""Masson, André (French painter and author, 1896-1987)""]"
,yes,no,,,,"Masuda, Gyokujo",1881-1955,Gyokujo Masuda,"[""Masuda, Gyokujo (1881-1955)""]"
Q1545366,yes,yes,,,,"Masurovsky, Gregory","American printmaker, born 1929, active in France",Gregory Masurovsky,"[""Masurovsky, Gregory (American printmaker, born 1929, active in France)""]"
Q63038130,yes,yes,,,,"Mathis, Jill","1964-, born Belleville, IL",Jill Mathis,"[""Mathis, Jill (1964-, born Belleville, IL)""]"
Q5589,yes,yes,,,,"Matisse, Henri","French painter, sculptor, and printmaker, 1869-1954",Henri Matisse,"[""Matisse, Henri (French painter, sculptor, and printmaker, 1869-1954)""]"
Q11438243,yes,yes,,,,"Matora, Oishi",,Oishi Matora,"[""Matora, Oishi""]"
,yes,no,,,,"Matsutaka, Saishuntei",,Saishuntei Matsutaka,"[""Matsutaka, Saishuntei""]"
,yes,yes,,,,Matsuyama,or Shozan,Matsuyama,"[""Matsuyama (or Shozan)""]"
Q450236,yes,yes,,,,"Matta, Roberto","Chilean painter and printmaker, 1911-2002",Roberto Matta,"[""Matta, Roberto (Chilean painter and printmaker, 1911-2002)""]"
,yes,no,,,,Matthew Oesterreich,designer,Matthew Oesterreich,"[""Matthew Oesterreich (designer) and Lorenzo Zucchi (engraver)""]"
,yes,yes,,,,"Matz, Jeff","1963-, born Orlando, FL",Jeff Matz,"[""Matz, Jeff (1963-, born Orlando, FL)""]"
,yes,no,,,,"Mauke, Rudolf","German artist, born 1924",Rudolf Mauke,"[""Mauke, Rudolf (German artist, born 1924)""]"
Q21516117,yes,yes,,,,"May, Philip William","British illustrator, 1864-1903",Philip William May,"[""May, Philip William (British illustrator, 1864-1903)""]"
,yes,yes,,,,"Maynard, Jeremy D.","1977-, born Nashville, TN",Jeremy D. Maynard,"[""Maynard, Jeremy D. (1977-, born Nashville, TN)"",""Maynard, Jeremy D., (1977-, born Nashville, TN)"",""Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)""]"
Q6832612,yes,yes,,,,"Mazur, Michael","American painter and engraver, 1935-2009",Michael Mazur,"[""Mazur, Michael (American painter and engraver, 1935-2009)""]"
,yes,no,,,,"McAleer-Keeler, Kerry","1971-, born Providence, RI",Kerry McAleer-Keeler,"[""McAleer-Keeler, Kerry (1971-, born Providence, RI)""]"
,yes,no,,,,"McBurnie, Ronald",,Ronald McBurnie,"[""McBurnie, Ronald""]"
Q11774380,yes,yes,,,,"McCabe, David","1940-, born Leicester, England",David McCabe,"[""McCabe, David (1940-, born Leicester, England)""]"
,yes,no,,,,"McCloud, Bryce","1975, born Nashville, TN",Bryce McCloud,"[""McCloud, Bryce (1975, born Nashville, TN)"",""McCloud, Bryce (1975-, born Nashville, TN)"",""McCloud, Bryce (Nashville, TN, born 1975-)"",""McCloud, Bryce, (1975-, born Nashville, TN)"",""McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)""]"
,yes,yes,,,,"McCoy, Sarah","1976-, born Madison, WI",Sarah McCoy,"[""McCoy, Sarah  (1976-, born Madison, WI)""]"
,yes,no,,,,"McDevitt, Mark",,Mark McDevitt,"[""McDevitt, Mark""]"
,yes,yes,,,,"McIntyre, Mike","1978-, born St. Louis, MO",Mike McIntyre,"[""McIntyre, Mike (1978-, born St. Louis, MO)""]"
,yes,yes,,,,"McKay, Donald",,Donald McKay,"[""McKay, Donald""]"
Q50546546,yes,yes,,,,"McKeeby, Byron",1936-,Byron McKeeby,"[""McKeeby, Byron (1936-)""]"
,yes,no,,,,"McPharlin, Vincent","1910-1985, born Hastings, MI",Vincent McPharlin,"[""McPharlin, Vincent (1910-1985, born Hastings, MI)""]"
Q1100270,yes,yes,,,,"Meadmore, Clement","Australian sculptor, 1929-2005, active in the United States",Clement Meadmore,"[""Meadmore, Clement (Australian sculptor, 1929-2005, active in the United States)""]"
