qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
Q20973068,yes,yes,,,,"Balfourier, Adolphe Paul Emile","French artist, 1816-1875",Adolphe Paul Emile Balfourier,"[""Balfourier, Adolphe Paul Emile (French artist, 1816-1875)""]"
Q94617719,yes,yes,,,,"Ballaine, Jerrold","American sculptor, born 1934",Jerrold Ballaine,"[""Ballaine, Jerrold (American sculptor, born 1934)""]"
Q3787466,yes,yes,,,,"Ballin, Hugo","American painter and filmmaker, 1879-1956",Hugo Ballin,"[""Ballin, Hugo (American painter and filmmaker, 1879-1956)""]"
Q7964647,yes,yes,,,,"Bannard, Walter Darby","American painter, critic, born 1934",Walter Darby Bannard,"[""Bannard, Walter Darby (American painter, critic, born 1934)""]"
Q59998565,yes,yes,,,,"Barber, Sam",1943-,Sam Barber,"[""Barber, Sam (1943-)""]"
Q77262864,yes,yes,,,,"Barlach, Ernst","German sculptor, printmaker, and graphic artist, 1870-1938",Ernst Barlach,"[""Barlach, Ernst (German sculptor, printmaker, and graphic artist, 1870-1938)""]"
Q47513362,yes,yes,,,,"Barnet, Will","American painter and printmaker, 1911-2012",Will Barnet,"[""Barnet, Will (American painter and printmaker, 1911-2012)""]"
,yes,no,,,,"Barrós, Alfred",,Alfred Barrós,"[""Barrós, Alfred""]"
Q75646518,yes,yes,,,,"Barry, Robert","American conceptual artist, born 1936",Robert Barry,"[""Barry, Robert (American conceptual artist, born 1936)""]"
Q295593,yes,yes,,,,"Barrymore, Lionel","American actor and printmaker, 1878-1954",Lionel Barrymore,"[""Barrymore, Lionel (American actor and printmaker, 1878-1954)""]"
Q1106798,yes,yes,,,,"Bartoli, Pietro Sante","Italian painter and engraver, 1615-1700",Pietro Sante Bartoli,"[""Bartoli, Pietro Sante (Italian painter and engraver, 1615-1700)""]"
Q74891073,yes,yes,,,,"Bartolozzi, Francesco","Italian engraver, 1727-1815",Francesco Bartolozzi,"[""Bartolozzi, Francesco (Italian engraver, 1727-1815)""]"
Q80013984,yes,yes,,,,"Barye, Antoine-Louis","French sculptor, 1796-1875",Antoine-Louis Barye,"[""Barye, Antoine-Louis (French sculptor, 1796-1875)""]"
Q57688022,yes,yes,,,,"Baskin, Leonard","American sculptor and printmaker, 1922-2000",Leonard Baskin,"[""Baskin, Leonard (American sculptor and printmaker, 1922-2000)"",""Baskin, Leonard and Hughes, Ted (1922-2000, 1930-1998)""]"
Q58814156,yes,yes,,,,"Bass, Saul","American graphic designer, 1920-1996",Saul Bass,"[""Bass, Saul (American graphic designer, 1920-1996)""]"
,yes,yes,,,,"Bauer, Ann",,Ann Bauer,"[""Bauer, Ann""]"
Q1082620,yes,yes,,,,"Baumgartner, Christiane","1967-, born Leipzig, Germany",Christiane Baumgartner,"[""Baumgartner, Christiane (1967-, born Leipzig, Germany)""]"
,yes,yes,,,,Baviera,,Baviera,"[""Baviera ""]"
Q1608029,yes,yes,,,,"Bayer, Herbert","German or Austrian designer and painter, 1900-1985, active in the United States",Herbert Bayer,"[""Bayer, Herbert (German or Austrian designer and painter, 1900-1985, active in the United States)""]"
Q1291679,yes,yes,,,,"Bearden, Romare Howard","American painter and printmaker, 1911-1988",Romare Howard Bearden,"[""Bearden, Romare Howard (American painter and printmaker, 1911-1988)""]"
Q516950,yes,no,,,,"Beaudin, André Gustave","French painter, sculptor, and printmaker, 1895-1979",André Gustave Beaudin,"[""Beaudin, André Gustave (French painter, sculptor, and printmaker, 1895-1979)""]"
Q2958342,yes,yes,,,,"Beaumont, Edouard de","French painter, 1821-1888",Edouard de Beaumont,"[""Beaumont, Edouard de (French painter, 1821-1888)""]"
Q6699954,yes,yes,,,,"Bechi, Luigi","Italian painter, 1830-1919",Luigi Bechi,"[""Bechi, Luigi (Italian painter, 1830-1919)""]"
Q828966,yes,yes,,,,"Bechtold, Erwin","1925-, born Cologne, Germany",Erwin Bechtold,"[""Bechtold, Erwin (1925-, born Cologne, Germany)""]"
,yes,yes,,,,"Beeldemaker, Johannes","Dutch painter, born 1630 or 1636, died after 1710",Johannes Beeldemaker,"[""Beeldemaker, Johannes (Dutch painter, born 1630 or 1636, died after 1710)""]"
Q65018568,yes,yes,,,,"Beham, Hans Sebald","German miniaturist, engraver, and painter, born in 1500 in Nuremberg, active in 1531 until after 1534, and died in Frankfurt am Main in 1550",Hans Sebald Beham,"[""Beham, Hans Sebald (German miniaturist, engraver, and painter, born in 1500 in Nuremberg, active in 1531 until after 1534, and died in Frankfurt am Main in 1550)""]"
Q167132,yes,yes,,,,"Bellows, George Wesley","American painter and lithographer, 1882-1925",George Wesley Bellows,"[""Bellows, George Wesley (American painter and lithographer, 1882-1925)""]"
Q56537701,yes,yes,,,,Ben-Zion,"American painter, 1897-1987",Ben-Zion,"[""Ben-Zion (American painter, 1897-1987)""]"
