wikidataId,name,labelEn,alias,description,parentUnitStatementUuid,parentUnit,parentUnitReferenceHash,parentUnitReferenceSourceUrl,parentUnitReferenceRetrieved,officialWebsiteStatementUuid,officialWebsite,officialWebsiteReferenceHash,officialWebsiteReferenceRetrieved,instanceOfStatementUuid,instanceOf,instanceOfReferenceHash,instanceOfReferenceSourceUrl,instanceOfReferenceRetrieved
Q79117869,Latino and Latina Studies,Vanderbilt Department of Latino and Latina Studies,"[""Vanderbilt Latino and Latina Studies Department""]",a multidisciplinary program that considers the presence of Latinas/os and Hispanics as an integral part of US culture and history,363D6E56-04B1-49FB-A377-19E16E7DC3AD,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,654D0CED-97C5-48DB-9F65-2FB88820C120,https://as.vanderbilt.edu/latinolatinastudies,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,7D9F9FD6-4F00-4466-854C-CDABC2CC777F,Q2467461,39cf25d8a98ca0073816baf810dc4c7d12b416c5,https://as.vanderbilt.edu/latinolatinastudies,+2019-12-19T00:00:00Z
Q79117878,Mathematics,Vanderbilt Department of Mathematics,"[""Vanderbilt Mathematics Department""]",department for the study of mathematics,4BD62B8E-26AB-4181-8E29-A9FDC9C0B8CE,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,3C40DF16-876E-46A9-925C-9C4C83C8EB66,https://as.vanderbilt.edu/math,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,2FB53A35-7898-4100-8053-8DF285DA94E4,Q2467461,2a35720297ccf0bf981dbe96b2996d2555dfb8e1,https://as.vanderbilt.edu/math,+2019-12-19T00:00:00Z
Q79117884,Neuroscience,Interdisciplinary Program in Neuroscience for Undergraduates at Vanderbilt,"[""Vanderbilt Neuroscience Department"", ""Vanderbilt Department of Neuroscience""]",program for the study of the nervous system,9D6DB59B-A6CC-4E19-8768-500A4D8AF6F4,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,E7849B6D-0C31-47CB-8C93-9F08D9D3BB18,https://as.vanderbilt.edu/neuroscience,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,325D78D6-93A4-466B-B471-A27BF4E4F7F8,Q2467461,9a7120b2a9201a932d92139dbe3fa3a48fd1d97f,https://as.vanderbilt.edu/neuroscience,+2019-12-19T00:00:00Z
Q79117891,Philosophy,Vanderbilt Department of Philosophy,"[""Vanderbilt Philosophy Department""]",department studying the major areas of philosophical inquiry,2E79A360-7F31-4B5F-B8E9-DE0A5BCE8CDC,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,670DA17A-07C7-41BD-8890-B47C253A7182,https://as.vanderbilt.edu/philosophy,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,CA4F31CF-0A20-420F-9C16-69731F2B4FE4,Q2467461,b39d75dafc8ff0b9aa73726be0e0feb877cc7c17,https://as.vanderbilt.edu/philosophy,+2019-12-19T00:00:00Z
Q78779260,Physics and Astronomy,Vanderbilt Department of Physics and Astronomy,"[""Vanderbilt Physics and Astronomy Department""]",academic department focused on physics and astronomy,8ca635cf-47e9-f675-3021-ca344c578083,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,597ae957-45a6-3823-4812-5b4e686b07af,https://as.vanderbilt.edu/physics/,,+2019-12-19T00:00:00Z,abb49c46-4129-d290-9758-7597298bb44a,Q2467461,,https://as.vanderbilt.edu/physics/,+2019-12-19T00:00:00Z
Q79117899,Political Science,Vanderbilt Department of Political Science,"[""Vanderbilt Political Science Department""]","department spanning American politics, comparative politics, international relations, political theory, and political methodology",6C7D043A-FBEC-4EB5-A357-3C4FAE755B6D,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,2BF0540A-12E6-4873-9716-C1BEBA77A498,https://www.vanderbilt.edu/political-science/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,4CFB4780-3BEE-469D-AC8E-DFCB19C3FA4C,Q2467461,6ea7a95ac28e95d91ea45c006f6f5683655bb679,http://www.vanderbilt.edu/political-science,+2019-12-19T00:00:00Z
Q79117907,Psychology,Vanderbilt Department of Psychology,"[""Vanderbilt Psychology Department""]",department spanning all sub-disciplines of psychology,F9CEB734-A83C-4028-BEBE-F6BE005AECD0,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,4B0C41A7-85C2-43BB-B43D-DCB45E4C25ED,https://www.vanderbilt.edu/psychology/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,F6415B68-65E7-4A09-8BC2-49FEF6CDED17,Q2467461,ce2466571fd1ed4910624a89c25f960f54084964,https://www.vanderbilt.edu/psychology/,+2019-12-19T00:00:00Z
Q79117914,Public Policy Studies,Public Policy Studies at Vanderbilt,"[""Vanderbilt Public Policy Studies Department"", ""Vanderbilt Department of Public Policy Studies""]","program focused on political science, economics, sociology, anthropology, philosophy, statistics, and public finance",FE3AC3DC-58D4-4878-8FF3-45B8EAF1F5C5,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,022D3D8D-CDB2-476F-9034-7B35F1BAF633,https://as.vanderbilt.edu/publicpolicystudies/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,C7970E44-B143-4D12-AEB3-7103667723D4,Q2467461,ca7da386df4697e37ca62cdaf0675ee56dc8d369,https://as.vanderbilt.edu/publicpolicystudies/,+2019-12-19T00:00:00Z
Q79117923,Religious Studies,Vanderbilt Department of Religious Studies,"[""Vanderbilt Religious Studies Department""]","department focused on study of the nature, history, and function of different religious traditions",BC41D28A-8D2D-4E11-A837-6B248E763A3C,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,0AE66764-E800-4DB3-A589-42001F0FE631,https://as.vanderbilt.edu/religiousstudies,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,E663EBB6-B640-4C32-90E0-68D0C1AB40EF,Q2467461,963388dd13acf795ac307bc65330831859dd48ae,https://as.vanderbilt.edu/religiousstudies,+2019-12-19T00:00:00Z
Q79117930,Sociology,Vanderbilt Department of Sociology,"[""Vanderbilt Sociology Department""]",department focused on sociology,6DB90151-8840-4365-B2E9-D5417B092A8B,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,83AFEBBF-7231-426E-B84D-5F0818E727D7,https://as.vanderbilt.edu/sociology,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,1DA8B25C-AAE4-4C5C-9525-9AB0025EADD2,Q2467461,abe498003b24a31a87fdbea40cc80980a81635e0,https://as.vanderbilt.edu/sociology,+2019-12-19T00:00:00Z
Q79117938,Spanish and Portuguese,Vanderbilt Department of Spanish and Portuguese,"[""Vanderbilt Spanish and Portuguese Department""]","department focused on language, literature, linguistics, and culture of Spanish and Portuguese with courses in Catalan",9AE0D417-ACA2-4EBD-994C-284701E58108,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,F526F8CE-7468-4632-B67D-52D71A3F0A7B,https://as.vanderbilt.edu/spanish-portuguese,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,C0BE2973-ACF2-4722-BEBE-68FF537C0544,Q2467461,93a3adb52719cede655a077f7d55d7dadf17d1f6,https://as.vanderbilt.edu/spanish-portuguese,+2019-12-19T00:00:00Z
Q79117944,Theatre,Vanderbilt Department of Theatre,"[""Vanderbilt Theatre Department""]",department focused on theatrical production and theatre studies,944EAAF0-13EE-4FA4-8E76-31678BCCA1BF,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,38452351-E879-469D-B03D-66092F7546BC,https://as.vanderbilt.edu/theatre,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,0C603572-0075-4A74-8491-6A55F69F4828,Q2467461,eed18c890ba9f1f0e64152ffeb9e30d04b585d3d,https://as.vanderbilt.edu/theatre,+2019-12-19T00:00:00Z
Q79117951,Women's and Gender Studies,Vanderbilt Department of Women's and Gender Studies,"[""Vanderbilt Women's and Gender Studies Department""]","program focused on recognizing that gender, race, class, ethnicity, age, sexuality, and nationality are crucial aspects of identity",60AF568F-37E0-4FDC-AB83-BF24F12757D8,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,721CF680-A8AD-463F-87A4-3888209A45B5,https://as.vanderbilt.edu/wgs/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,65B71B1B-7653-4F6D-A5A2-ED1F58F7D052,Q2467461,a51159b903b85f5078ac87d07ef4c99321a96c10,https://as.vanderbilt.edu/wgs/,+2019-12-19T00:00:00Z
